index;question;context;answers;id
83;How many months after joining NLB, what are intermediary targets to be set every five years?;folios to align withpathways to net-zero by 2050 or sooner. Within 18 months of joining, setting 2030 targets or soonerand a 2050 target;{'text': ['18'], 'answer_start': [67]};31
85;How many sports clubs did NLB support in 2022?;ditions. In 2022, for the eighth consecutive year, NLBd.d. supported 65 sports clubs throughout Slovenia. ;{'text': ['65'], 'answer_start': [69]};32
95;How many impact areas did the UNEP FI tool define in all six countries of the NLB Group operations?;The following table depicts the specific country need levelsfor all 22 impact areas defined by the UNEP FI tool in all sixcountries of the ;{'text': ['22'], 'answer_start': [68]};33
96;How many impact areas were identified?;p carried out impactanalysis and materiality analysis and identified 13 impactareas Employment, Inclusive  healthy economies, Resour;{'text': ['13'], 'answer_start': [69]};34
97;How many workshops were provided in 2022?;s based on three pillars- digital skills for older people  in 2022 13 workshops were provided with 121 participants,- content cooperation;{'text': ['13'], 'answer_start': [67]};35
98;How many Sustainable economic activities promote the transition to a low-carbon, resource-efficient and sustainable economy?;11 Sustainable economic activities promote the transition to a low-carbo;{'text': ['11'], 'answer_start': [0]};36
99;How many consecutive years did Top Employer receive the First ESG Rating?;ongthe best 15% of banks as assessedby Sustainalytics.TopEmployer7th consecutive yearThe firstESGratingWe are focused on our journey t;{'text': ['7th'], 'answer_start': [65]};37
100;How many trees were saved?; 70%at NLB Group level. Paper consumption was reduced by 17%, thus 866 treeswere saved. 6,176 trees were planted by NLB Group employeest;{'text': ['866'], 'answer_start': [67]};38
101;What bank is the leading bank in Slovenia?; position and the impact of itsactivities.NLB Group is comprised of NLB, the leading and systemicallymost important bank in Slovenia, seven ;{'text': ['NLB'], 'answer_start': [42]};39
102;How many branches does NLB Group have in all markets where it operates?;B Group in numbers as at 31 December 2022 An extensive network of 440 branches in all markets whereNLB Group operates. More than 2.7 mil;{'text': ['440'], 'answer_start': [66]};40
104;How many levels does NLB Skladi tackle the sustainable development activities?;company. NLB Skladi tackles the sustainable developmentactivities at two levels 1. Harmonisation within the NLB Groupat company level and 2.;{'text': ['two'], 'answer_start': [69]};41
105;How many most important stakeholder groups did NLB Group identify?;Through a materiality analysis, we identified the six mostimportant stakeholder groups employees, investors/shareholders;{'text': ['six'], 'answer_start': [50]};42
106;How many times was the evaluation performed?;r NLB Groupssustainable operations. The evaluationwas performed in two parallel tracks onewith NLB Group internal stakeholders,i.e. ;{'text': ['two'], 'answer_start': [67]};43
107;How many parallel tracks did the evaluation of NLB Groups sustainable operations take place?;r NLB Groupssustainable operations. The evaluationwas performed in two parallel tracks onewith NLB Group internal stakeholders,i.e. ;{'text': ['two'], 'answer_start': [67]};44
108;How many countries are there in which we are present?;nesurvey sent to the designated externalstakeholders throughout the six countrieswhere we are present, who evaluated eachone of the 17 mate;{'text': ['six'], 'answer_start': [68]};45
109;How many main stakeholder groups did the NLB Group identify through stakeholder mapping?;Through stakeholder mappingwe recognised six mainstakeholder groups employees,private and business clients,sup;{'text': ['six'], 'answer_start': [41]};46
123;How many trees did the bank donate to Prishtina?;rted the initiative To Love and Protectthe Nature and donated around 200 trees to beplanted in Prishtina in the last two years. By doingso, ;{'text': ['200'], 'answer_start': [69]};47
127;Who reimburses its employees?;e i.e., home office have not been taken into consideration, althoughNLB reimburses its employees.;{'text': ['NLB'], 'answer_start': [68]};48
128;What was the consumption of various resources converted to?;e electricity.HeatingMeasurement included consumption converted to MWh of various resources natural gas, heating oil, liquid petroleum gas;{'text': ['MWh'], 'answer_start': [67]};49
130;How much fuel was consumed in the baseline year?;Altogether, the consumption was reduced by 15% compared to 2021, and 10% compared tothe baseline year.Fuel consumptionFuel consumption con;{'text': ['10%'], 'answer_start': [69]};50
131;By 2025, what percentage of paper prints were to be reduced?;roject in 2020. After thorough analysis the target was setto achieve 50% reduction of number of paper prints in itsoperations by 2025 compar;{'text': ['50%'], 'answer_start': [69]};51
132;How many trees did NLB save?;Thus, we saved 866 trees.Paper usage in NLB was lower by 26%, which is the highestredu;{'text': ['866'], 'answer_start': [15]};52
136;What percentage of NLB Groups employees were women in 2021?;roup by genderAs in 2021, at its significant locations of employment 70% ofNLB Groups employees were women and 30% men at the endof 2022.G;{'text': ['70%'], 'answer_start': [69]};53
137;What percentage were men in 2022?;t locations of employment 70% ofNLB Groups employees were women and 30% men at the endof 2022.Graph Number of employees in NLB GroupNLB d;{'text': ['30%'], 'answer_start': [68]};54
138;How many new employees did NLB Group hire in 2022?;re of new employees in NLBby gender and ageIn 2022, NLB Group hired 926 new employees at its significantlocations of employment, of which 28;{'text': ['926'], 'answer_start': [68]};55
140;How much did the employee turnover rate increase between 2021 and 2022?; age in 2022Compared to 2021, the turnover rate in 2022 increased by 6%,mostly due to the higher number of retirements and earlyretirements,;{'text': ['6%,'], 'answer_start': [69]};56
141;How much did the rate of employee turnover in NLB Group increase in 2022?; age in 2022Compared to 2021, the turnover rate in 2022 increased by 6%,mostly due to the higher number of retirements and earlyretirements,;{'text': ['6%,'], 'answer_start': [69]};57
142;How many employees took parental leave in 2022?;eesin NLB Group workedfrom home every day.Parental leaveIn 2022, 254 employees 214 women, 40 men took parentalleave. Some of the employ;{'text': ['254'], 'answer_start': [65]};58
143;How many people were included in the company in 2022?;aim of developing the organisationalculture and leaders, we included 136 individuals in thehighest management positions in the entire NLB Gro;{'text': ['136'], 'answer_start': [69]};59
144;How many individuals were included with the company by 2022 to develop the organisational culture and leaders?;aim of developing the organisationalculture and leaders, we included 136 individuals in thehighest management positions in the entire NLB Gro;{'text': ['136'], 'answer_start': [69]};60
145;How many people in the NLB Group participated in a 360-degree feedback exercise on the impact of their leadership on employees?;aim of developing the organisationalculture and leaders, we included 136 individuals in thehighest management positions in the entire NLB Gro;{'text': ['136'], 'answer_start': [69]};61
146;How many students and occasional workers were employed in 2022?;opportunities or practice to students.In 2022, there were altogether 172 students and occasionalworkers employed in different areas of work ;{'text': ['172'], 'answer_start': [69]};62
148;How many authorized representatives does the Bank have?;intopics of interest are related to working conditions.The Bank has one authorized representative assigned forcooperation in labor relations;{'text': ['one'], 'answer_start': [68]};63
149;A total of what percentage for members of supervisory boards?;ntary achievement of the goal of sexual diversity by the end of2026 40% for members of supervisory boards and a total of 33% for members ofs;{'text': ['40%'], 'answer_start': [68]};64
162;What percentage of all CSR activities were aligned with UN SDGs?;n overview of key CSR activities with the greatestimpact group-wide.40% of all CSR activitieswere aligned with at leastone of the UN SDG go;{'text': ['40%'], 'answer_start': [68]};65
163;What percentage of all CSR activities were aligned with at least one of the UN SDG goals?;n overview of key CSR activities with the greatestimpact group-wide.40% of all CSR activitieswere aligned with at leastone of the UN SDG go;{'text': ['40%'], 'answer_start': [68]};66
164;How many companies participated in the FrameOfHelp project in 2022?;In 2022, as many as 300 companies participated theFrameOfHelp project, with which NLB Group;{'text': ['300'], 'answer_start': [20]};67
168;How many stages of personal finance management are there in the Bankarium museum?;nued its mission in strengthening financialliteracy. Walking through six stages of personal financemanagement, visitors can play digital game;{'text': ['six'], 'answer_start': [69]};68
170;How many years old is Slovenias banking heritage?;of world banking in a multimedia introduction. Then, theyexplore the 200-year-old banking heritage in the Slovenianterritory. SDG4  Quality;{'text': ['200'], 'answer_start': [69]};69
182;How much of a reduction in paper print will be achieved by 2025?;50% reduction of paper print by 202575% of all electric energy from zer;{'text': ['50%'], 'answer_start': [0]};70
183;How many countries does Slovenia have subsidiaries in?;king groups. The Group is presentin a market of 17 million people in six countries Bosniaand Herzegovina, Montenegro, Serbia, the Republic o;{'text': ['six'], 'answer_start': [69]};71
184;How many main countries of operation are there?; activities consumer, business, corporate, andinvestment banking six main countries of operation Slovenia, Bosnia andHerzegovina, North ;{'text': ['six'], 'answer_start': [65]};72
185;How many countries does the NLB Group operate in?;eed levelsfor all 22 impact areas defined by the UNEP FI tool in all sixcountries of the NLBGroup operations based on the data collected on ;{'text': ['six'], 'answer_start': [69]};73
186;How many stakeholders did the materiality analysis work with?;nted a materiality analysis, whichidentified and closely worked with six main stakeholdersinvestors, employees, private clients, regulatory ;{'text': ['six'], 'answer_start': [69]};74
192;How many advisors does NLB have?;covers 733 advisors, 53% bank advisors and 47% financialadvisors. All advisors ;{'text': ['733'], 'answer_start': [7]};75
193;How much will NLB reduce the number of paper prints in its operations by 2025 compared to 2019?;BGroup will decreasethe number ofpaper prints in itsoperations by 50%comparedto 2019.Number of printsinclusive healthyeconomiesBy 2;{'text': ['50%'], 'answer_start': [66]};76
194;By 2025, NLB Group will decrease the number of paper prints in its operations by what percentage compared to 2019?;B Group will decrease the number of paperprints in its operations by 50% compared to 2019.- introduction of digital signatures and digital to;{'text': ['50%'], 'answer_start': [69]};77
196;How much of the electricity used by NLB Group is purchased from zero-carbon energy sources?;m zero-carbonsources.At the end of 2022, we are already approaching 70% of allelectricity used by NLB Group purchased from zero-carbonenerg;{'text': ['70%'], 'answer_start': [68]};78
197;By 2025, NLB Group will decrease the number of paper prints in its operations by what percentage compared to 2019?;B Group willdecrease the number of paperprints in its operations by 50%compared to 2019NLB Group has decreased paper prints in 2022 by 43%;{'text': ['50%'], 'answer_start': [68]};79
204;By what year does the United Nation want to harmonise credit and investment portfolios with zero net emissions?; credit and investment portfolios with reaching zeronet emissions by 2050 or earlier. We have continued developinga range of green products an;{'text': ['2050'], 'answer_start': [69]};80
207;In what year will we continue to address all ESG pillars in all our banking members throughout the region?;The latter is clear to us. In 2023 we will continue to developand address all ESG pillars in all our ba;{'text': ['2023'], 'answer_start': [30]};81
208;In what year did NLB receive its first ESG rating?;In 2022, NLB received itsfirst ESG rating, placing it amongthe best 15% of ;{'text': ['2022'], 'answer_start': [3]};82
211;What was NLB Group rated as low risk by ESG Risk rating Sustainalytics?;porate and sustainabilitygovernance standards. NLB Group was rated 17.7  low risk by ESG Risk ratingSustainalytics. Sustainability mana;{'text': ['17.7'], 'answer_start': [67]};83
212;How many hours were invested in sustainability related employee trainings?;adopted and upgradedto increase embeddedness of ESG in operations. 1,452 hours were invested in sustainability relatedemployee trainings.;{'text': ['1,452'], 'answer_start': [67]};84
219;In what year did NLB Banka, Beograd merge with Komercijalna Banka?; Srpska.vii Market share in the Federation of BiH.viii In April 2022 NLB Banka, Beograd merged with Komercijalna Banka, Beograd.CEO State;{'text': ['2022'], 'answer_start': [64]};85
220;In what year did the NLB Group become a signatory to the UN PRB and UNEP FI member?;ave been part of NLB Group since very beginning of itsoperations. In 2020, the Bank faced the biggest strategicmilestone, when it became a sig;{'text': ['2020'], 'answer_start': [69]};86
221;When was the NLB group sustainability programme adopted?;opportunities, the NLB Group Sustainability Programmewas adopted in 2020. ;{'text': ['2020'], 'answer_start': [68]};87
222;When did the programme evolve into a comprehensive NLB Group Sustainability Framework?;The programme evolved in 2021 intoa comprehensive NLB Group Sustainability Framework, themandator;{'text': ['2021'], 'answer_start': [25]};88
223;When was the Environmental and Social Management System developed and implemented?;mentation of the Environmental and Social ManagementSystem ESMS in 2021. ESMS is a part of a comprehensive riskmanagement system within NLB ;{'text': ['2021'], 'answer_start': [67]};89
230;What year did NLB continue its focus on fulfilling the impact and target setting commitments?;e we can have the most significant impacts.Activities and results in 2022NLB Group continued its focus on fulfilling the impact andtarget set;{'text': ['2022'], 'answer_start': [69]};90
231;In what year did NLB Group join the United-Nations-Convened Net-Zero Banking Alliance?;t national and regionalframeworks.Activities and results in 2022In 2022 the Group joined the United-Nations-Convened Net-ZeroBanking Alli;{'text': ['2022'], 'answer_start': [60]};91
232;By 2030, what will be the share of active digital retail users in the NLB Group by the year 2025?;25, the share of active digital retail users in theNLB Group will be 55%.Impact area Inclusive  healthy economiesTarget achivements in 2022;{'text': ['55%.'], 'answer_start': [69]};92
237;How much of the energy used in the NLB Group will come from zero-carbon sources by 2030?;porate financing.Publicly announced target by 2030By the year 2030, 75% of all electric energy used in the NLBGroup will come from zero-carb;{'text': ['75%'], 'answer_start': [68]};93
238;What percentage of all electric energy used by NLB comes from zero carbon sources?;porate financing.Publicly announced target by 2030By the year 2030, 75% of all electric energy used in the NLBGroup will come from zero-carb;{'text': ['75%'], 'answer_start': [68]};94
240;When did the NLB Group offer customers loans with a sustainable financing component at a lower interest rate than the Banks regular offer?;rong partnerships in sustainablesolutions.Activities and results in 2022The Group offered customers loans with a sustainable financingcomp;{'text': ['2022'], 'answer_start': [68]};95
243;In what year did NLB Group organize its first Investor Day?;ments into the operations. Organizing special investor days In May 2022, NLB Group organized its first Investor Day in Belgrade. Presentin;{'text': ['2022'], 'answer_start': [67]};96
244;In what year did NLB conduct a materiality analysis?;on people and the environment,we conducted a materiality analysis in 2021, which also served as a foundation for sustainabilityactivities in 2;{'text': ['2021'], 'answer_start': [69]};97
258;Throughout what year were several training sessions on ESG topics organised for different internal stakeholders?;pics forthe Management Board and Supervisory Board alike.Throughout 2022, several training sessions on these topicswere organised for differe;{'text': ['2022'], 'answer_start': [68]};98
260;How much did the bank reduce the use of paper in 2022 compared to the previous year?;our initiatives,the bank managed to reduce the use of paper by upto 19% in 2022 compared to the previous year.;{'text': ['19%'], 'answer_start': [68]};99
265;In what year did the Bank begin preparations for the Policy on Respect for Human Rights in NLB d.d. and the NLB Group?;isabilities, consumerrights and forced labour.In the second half of 2022 the Bank started with preparationsof the comprehensive Policy on Res;{'text': ['2022'], 'answer_start': [68]};100
273;What percentage of electricity carbon footprint was reduced in Slovenia?;a, NLB Group managed to reduce totalelectricity carbon foot print by 70%. Slight reduction in othercountries was also achieved. Furthermore, i;{'text': ['70%.'], 'answer_start': [69]};101
274;When were more personal meetings and other events with external stakeholders conducted?;eetings and other events with external stakeholders wereconducted in 2022 compared to previous years. The Group willstrive to further monitor ;{'text': ['2022'], 'answer_start': [69]};102
277;In what year did NLB acquire N Banka?;% for 2019 and 2020, and 0,1% for 2021 from the prior report.2 In 2022 NLB acquired N Banka, whereas merger of both entities is planned in 2;{'text': ['2022'], 'answer_start': [66]};103
281;What year did Komercijalna Banka Beograd become part of NLB Group?;issions also for 2019 and 2020, despitebecoming part of NLB Group in 2021. However, GHG Protocol suggests recalculating baseline year in case o;{'text': ['2021'], 'answer_start': [69]};104
289;How much was paper usage reduced in 2022 compared to 2021?;ieving this goal has been made aspaper usage prints was reduced by 17% compared to 2021.;{'text': ['17%'], 'answer_start': [67]};105
294;How many employees did NLB increase in 2022?;s year, the number of employeesincreased by 43 in 2022 to a total of 8,228 employees. InMarch 2022, NLB acquired Slovenian Sberbank subsequent;{'text': ['8,228'], 'answer_start': [69]};106
295;How many employees did NLB have in 2022?;s year, the number of employeesincreased by 43 in 2022 to a total of 8,228 employees. InMarch 2022, NLB acquired Slovenian Sberbank subsequent;{'text': ['8,228'], 'answer_start': [69]};107
297;In 2022, how many employees were there at NLB?;s year, the number of employeesincreased by 43 in 2022 to a total of 8,228 employees. InMarch 2022, NLB acquired Slovenian Sberbank subsequent;{'text': ['8,228'], 'answer_start': [69]};108
298;What percentage of NLB Group employees have a tertiary education level?; 2021.Structure of employees in NLB Groupby educationIn NLB Group, 74% of the employees have a tertiaryeducation level.Structure of new em;{'text': ['74%'], 'answer_start': [67]};109
299;What percentage of new employees were men?;Altogether, 32% of new employees weremen and 68% were women.CEO StatementKey Highl;{'text': ['32%'], 'answer_start': [12]};110
300;How many employees left the NLB Group at its significant locations of employment in 2022?;tructure of employee turnover in NLB Groupby gender and ageIn 2022, 1196 employees left the NLB Group at its significantlocations of employme;{'text': ['1196'], 'answer_start': [68]};111
301;How many people left the NLB Group at its significant locations of employment?;tructure of employee turnover in NLB Groupby gender and ageIn 2022, 1196 employees left the NLB Group at its significantlocations of employme;{'text': ['1196'], 'answer_start': [68]};112
302;What percentage of those who left were men?;nd 60, and 166 14% were over 60 years of age.Among those who left, 32% were men and 68% were women.;{'text': ['32%'], 'answer_start': [67]};113
305;How many employees worked from home in 2022?; we actively encouraged working from home.Thus, in 2022, on average, 36% of employees in NLB Groupworked from home every day. And this trend ;{'text': ['36%'], 'answer_start': [69]};114
306;How many employees in the NLB Group work from home every day?; we actively encouraged working from home.Thus, in 2022, on average, 36% of employees in NLB Groupworked from home every day. And this trend ;{'text': ['36%'], 'answer_start': [69]};115
312;How many hours of training did an NLB Group employee do in 2022?;focused learning and training.On average, an NLB Groupemployee did 22.4 hoursof training in 2022, whilein NLB this number was higherat 32.;{'text': ['22.4'], 'answer_start': [67]};116
313;In 2022, how many hours/employee did NLB employees do in training?;2.4 hoursof training in 2022, whilein NLB this number was higherat 32.8 hours/employee.In the future, the Group will strive to leverage tra;{'text': ['32.8'], 'answer_start': [67]};117
314;When was the workplace risk assessment performed?;During the workplace risk assessment performed in2022 we did not identify any high-risk workplaces. There wereno fatalitie;{'text': ['2022'], 'answer_start': [49]};118
318;What type of structure does H stand for?;igh Medium High Medium High Medium High Medium HighAge structureH - high MH - medium high ML- medium low L- lowManagement bodies and senio;{'text': ['high'], 'answer_start': [68]};119
319;What percentage of all management positions were held by women at the end of 2022?; Gender diversity of leadershipAt the end of 2022, women represented 56% of allmanagement positions. ;{'text': ['56%'], 'answer_start': [69]};120
320;How many women are in Management Boards?;24% of women in ManagementBoards NLB d.d. and subsidiaries, 49% of wom;{'text': ['24%'], 'answer_start': [0]};121
321;What percentage of women are at the first management level?;24% of women in ManagementBoards NLB d.d. and subsidiaries, 49% of women at thefirst management level B-1, 52% of women at the sec;{'text': ['49%'], 'answer_start': [60]};122
322;How much of women at the second management level are in management boards?; and subsidiaries, 49% of women at thefirst management level B-1, 52% of women at the secondmanagement level B-2, and 63% of women at th;{'text': ['52%'], 'answer_start': [66]};123
323;When was the Golden Branch competition established?;fortable in thebranch, because work spaces are perfectly arranged. In2022, for the second year in a row, NLB organised the GoldenBranch compet;{'text': ['2022'], 'answer_start': [69]};124
324;What year did NLB organize the Golden Branch competition?;ortable in thebranch, because work spaces are perfectly arranged. In2022, for the second year in a row, NLB organised the GoldenBranch compet;{'text': ['2022'], 'answer_start': [68]};125
325;What percentage of clients are expected to be active on digital channels by 2025?;igital penetration of activecustomers. The goal for NLB Group is for 55% of clients to beactive on digital channels by 2025. ;{'text': ['55%'], 'answer_start': [69]};126
326;When will planned improvements on digital channels be launched?;ital penetration targets in all countries in thecoming years. During 2023, planned improvements on digitalchannels will be launched, as well a;{'text': ['2023'], 'answer_start': [69]};127
327;What percentage of all complaints were resolved positively in 2022?; The preparation of annual report of customers complaints.In 2022, 86% of all complaints were resolved positively. Wehave also set up a pre;{'text': ['86%'], 'answer_start': [67]};128
331;By what year is NLB Groups net-zero strategy implemented?;rategy. With the implementation of NLB Groups net-zero strategy in 2023 it is expected that its impacts will gradually diminish in the long r;{'text': ['2023'], 'answer_start': [67]};129
332;When did several important activities start for the purpose of calculation of credit portfolio GHG emissions?;redit portfolio GHGemissions several important activities started in 2022. Forlarger corporate clients we initiated direct Scope 1  2  3 dat;{'text': ['2022'], 'answer_start': [69]};130
333;When did the GHG calculation start?;redit portfolio GHGemissions several important activities started in 2022. Forlarger corporate clients we initiated direct Scope 1  2  3 dat;{'text': ['2022'], 'answer_start': [69]};131
334;By what year did we form the emission calculation for the Slovenian market?;By end of 2022 we formed the emission calculationfor the Slovenian market, whereas ;{'text': ['2022'], 'answer_start': [10]};132
338;In what year did NLB receive an ESG Risk Rating?;NLB obtained in 2022 for the firsttime an ESG Risk Rating. Assigned rating reflects a low;{'text': ['2022'], 'answer_start': [16]};133
340;In what year are additional key risk indicators and targets in the area of ESG going to be addressed?;ndicators and targets in the area of ESG are going to be addressed in 2023 basedon on-going activities related with the Net Zero Banking Allian;{'text': ['2023'], 'answer_start': [70]};134
342;When did NLB launch its first green financing offer?;uction of the first greenfinancing offer NLB Green Housing Loan in 2020, the Groupcontinues to strengthen its sustainable finance propositio;{'text': ['2020'], 'answer_start': [67]};135
343;When will the Bank take decisive steps in order to be ready to issue one of its future bonds in a green format?;Issuance of bonds in a greenformat is an ambition of NLB. In 2023 the Bank will takedecisive steps in order to be ready to issue one o;{'text': ['2023'], 'answer_start': [61]};136
347;In what year was NLB actively involved in raising awareness of the importance and relevance of the EU Taxonomy?;In 2022 NLB was actively involved in raising awareness ofthe importance and ;{'text': ['2022'], 'answer_start': [3]};137
351;What year did NLB become a Green Partner of the GLWF?;een partner in building regionalmodels to mitigate climate changeIn 2022, NLB became a Green Partner of the GLWF GreenLight World Flight pr;{'text': ['2022'], 'answer_start': [68]};138
352;When will the combined measurements be combined with the results of similar projects?;ned with the results of similarprojects which will be carried out in 2023. The combinedmeasurements will then serve as input and validation da;{'text': ['2023'], 'answer_start': [69]};139
353;In what year will the combined measurements serve as input and validation data for regional models of climate change and the dispersion of pollutants?;ned with the results of similarprojects which will be carried out in 2023. The combinedmeasurements will then serve as input and validation da;{'text': ['2023'], 'answer_start': [69]};140
354;How many seedlings were planted in the Maleevo region?;a Skopje carried outunder the motto Foresting together, we planted 3700seedlings in the MaleL?evo region. This region was one of themost aff;{'text': ['3700'], 'answer_start': [67]};141
355;How many trees were planted on Jahorina?;loyees of NLB Banka Banja Luka took care offorestation on Jahorina  2100 trees were planted by 320employees. SDG 15  Life on Land NLB Ko;{'text': ['2100'], 'answer_start': [68]};142
358;When was the first banking institution established?;on is based on people,banking knowledge and culture reaching back to 1820 whenthe first banking institution  the Carniola Savings Bank  was;{'text': ['1820'], 'answer_start': [69]};143
359;What percentage of businesses managed by women in Montenegro were managed by NLB?;eded for business growth. As the bank ofprimary choice for more than 32% of registered businessesmanaged by women in Montenegro, NLB reciproc;{'text': ['32%'], 'answer_start': [69]};144
360;Who implemented the Women in Business programme?;lityAs part of the Women in Business programme implementedby the EBRD and organised by NLB Banka Podgorica, in2022 a series of free educat;{'text': ['EBRD'], 'answer_start': [65]};145
361;In what year were free education sessions on the topic of Customer Relationship Management held?;amme implementedby the EBRD and organised by NLB Banka Podgorica, in2022 a series of free education sessions on the topic CRM Customer Rela;{'text': ['2022'], 'answer_start': [68]};146
