index;LABEL;question;answer;context;answer_start
75;OK;How many members are on the Management Board of NLB?;10;LB has 6 members 5 men and 1 woman. The Supervisory Board of NLB has 10 members7 men and 3 women.CEO StatementKey Highlights 2022About T;69
76;OK;How many practical workshops were organised specifically for the needs of older people?;10;heir money with using digitalchannels.For this reason, we organised 10 practical workshopsspecifically tailored to the needs of older peopl;68
77;OK;How many workshops were organized specifically for older peoples needs?;10;heir money with using digitalchannels.For this reason, we organised 10 practical workshopsspecifically tailored to the needs of older peopl;68
78;OK;How many workshops did NLB run in 2022?;13;kills for older people workshops online and offline.in 2022 we ran 13 workshops with a total of 121 participants.They are mainly are perfo;67
79;OK;How many different locations did NLB BankGo visit in 2022?;24;fbanking services on the road. In 2022 NLB BankGo regularlyvisited 24 different locations four days a week, and on Fridayswas present at s;67
80;OK;How many humanitarian organisations were exempted from fees in 2022?;32;enttransactions to humanitarian organisations. In 2022, NLBexempted 32 humanitarian organisations from fees, whichresulted in 6,104 transac;68
81;OK;How much money was generated by Private Individuals NLB?;13;introduce to the market20 different loan offers products, of which 13 are for private individuals and 7 for legal entities Microand SME.;67
83;OK;How many months after joining NLB, what are intermediary targets to be set every five years?;18;folios to align withpathways to net-zero by 2050 or sooner. Within 18 months of joining, setting 2030 targets or soonerand a 2050 target;67
85;OK;How many sports clubs did NLB support in 2022?;65;ditions. In 2022, for the eighth consecutive year, NLBd.d. supported 65 sports clubs throughout Slovenia. ;69
95;OK;How many impact areas did the UNEP FI tool define in all six countries of the NLB Group operations?;22;The following table depicts the specific country need levelsfor all 22 impact areas defined by the UNEP FI tool in all sixcountries of the ;68
96;OK;How many impact areas were identified?;13;p carried out impactanalysis and materiality analysis and identified 13 impactareas Employment, Inclusive  healthy economies, Resour;69
97;OK;How many workshops were provided in 2022?;13;s based on three pillars- digital skills for older people  in 2022 13 workshops were provided with 121 participants,- content cooperation;67
98;OK;How many Sustainable economic activities promote the transition to a low-carbon, resource-efficient and sustainable economy?;11;11 Sustainable economic activities promote the transition to a low-carbo;0
99;OK;How many consecutive years did Top Employer receive the First ESG Rating?;7th;ongthe best 15% of banks as assessedby Sustainalytics.TopEmployer7th consecutive yearThe firstESGratingWe are focused on our journey t;65
100;OK;How many trees were saved?;866; 70%at NLB Group level. Paper consumption was reduced by 17%, thus 866 treeswere saved. 6,176 trees were planted by NLB Group employeest;67
101;OK;What bank is the leading bank in Slovenia?;NLB; position and the impact of itsactivities.NLB Group is comprised of NLB, the leading and systemicallymost important bank in Slovenia, seven ;42
102;OK;How many branches does NLB Group have in all markets where it operates?;440;B Group in numbers as at 31 December 2022 An extensive network of 440 branches in all markets whereNLB Group operates. More than 2.7 mil;66
104;OK;How many levels does NLB Skladi tackle the sustainable development activities?;two;company. NLB Skladi tackles the sustainable developmentactivities at two levels 1. Harmonisation within the NLB Groupat company level and 2.;69
105;OK;How many most important stakeholder groups did NLB Group identify?;six;Through a materiality analysis, we identified the six mostimportant stakeholder groups employees, investors/shareholders;50
106;OK;How many times was the evaluation performed?;two;r NLB Groupssustainable operations. The evaluationwas performed in two parallel tracks onewith NLB Group internal stakeholders,i.e. ;67
107;OK;How many parallel tracks did the evaluation of NLB Groups sustainable operations take place?;two;r NLB Groupssustainable operations. The evaluationwas performed in two parallel tracks onewith NLB Group internal stakeholders,i.e. ;67
108;OK;How many countries are there in which we are present?;six;nesurvey sent to the designated externalstakeholders throughout the six countrieswhere we are present, who evaluated eachone of the 17 mate;68
109;OK;How many main stakeholder groups did the NLB Group identify through stakeholder mapping?;six;Through stakeholder mappingwe recognised six mainstakeholder groups employees,private and business clients,sup;41
123;OK;How many trees did the bank donate to Prishtina?;200;rted the initiative To Love and Protectthe Nature and donated around 200 trees to beplanted in Prishtina in the last two years. By doingso, ;69
127;OK;Who reimburses its employees?;NLB;e i.e., home office have not been taken into consideration, althoughNLB reimburses its employees.;68
128;OK;What was the consumption of various resources converted to?;MWh;e electricity.HeatingMeasurement included consumption converted to MWh of various resources natural gas, heating oil, liquid petroleum gas;67
130;OK;How much fuel was consumed in the baseline year?;10%;Altogether, the consumption was reduced by 15% compared to 2021, and 10% compared tothe baseline year.Fuel consumptionFuel consumption con;69
131;OK;By 2025, what percentage of paper prints were to be reduced?;50%;roject in 2020. After thorough analysis the target was setto achieve 50% reduction of number of paper prints in itsoperations by 2025 compar;69
132;OK;How many trees did NLB save?;866;Thus, we saved 866 trees.Paper usage in NLB was lower by 26%, which is the highestredu;15
136;OK;What percentage of NLB Groups employees were women in 2021?;70%;roup by genderAs in 2021, at its significant locations of employment 70% ofNLB Groups employees were women and 30% men at the endof 2022.G;69
137;OK;What percentage were men in 2022?;30%;t locations of employment 70% ofNLB Groups employees were women and 30% men at the endof 2022.Graph Number of employees in NLB GroupNLB d;68
138;OK;How many new employees did NLB Group hire in 2022?;926;re of new employees in NLBby gender and ageIn 2022, NLB Group hired 926 new employees at its significantlocations of employment, of which 28;68
140;OK;How much did the employee turnover rate increase between 2021 and 2022?;6%,; age in 2022Compared to 2021, the turnover rate in 2022 increased by 6%,mostly due to the higher number of retirements and earlyretirements,;69
141;OK;How much did the rate of employee turnover in NLB Group increase in 2022?;6%,; age in 2022Compared to 2021, the turnover rate in 2022 increased by 6%,mostly due to the higher number of retirements and earlyretirements,;69
142;OK;How many employees took parental leave in 2022?;254;eesin NLB Group workedfrom home every day.Parental leaveIn 2022, 254 employees 214 women, 40 men took parentalleave. Some of the employ;65
143;OK;How many people were included in the company in 2022?;136;aim of developing the organisationalculture and leaders, we included 136 individuals in thehighest management positions in the entire NLB Gro;69
144;OK;How many individuals were included with the company by 2022 to develop the organisational culture and leaders?;136;aim of developing the organisationalculture and leaders, we included 136 individuals in thehighest management positions in the entire NLB Gro;69
145;OK;How many people in the NLB Group participated in a 360-degree feedback exercise on the impact of their leadership on employees?;136;aim of developing the organisationalculture and leaders, we included 136 individuals in thehighest management positions in the entire NLB Gro;69
146;OK;How many students and occasional workers were employed in 2022?;172;opportunities or practice to students.In 2022, there were altogether 172 students and occasionalworkers employed in different areas of work ;69
148;OK;How many authorized representatives does the Bank have?;one;intopics of interest are related to working conditions.The Bank has one authorized representative assigned forcooperation in labor relations;68
149;OK;A total of what percentage for members of supervisory boards?;40%;ntary achievement of the goal of sexual diversity by the end of2026 40% for members of supervisory boards and a total of 33% for members ofs;68
162;OK;What percentage of all CSR activities were aligned with UN SDGs?;40%;n overview of key CSR activities with the greatestimpact group-wide.40% of all CSR activitieswere aligned with at leastone of the UN SDG go;68
163;OK;What percentage of all CSR activities were aligned with at least one of the UN SDG goals?;40%;n overview of key CSR activities with the greatestimpact group-wide.40% of all CSR activitieswere aligned with at leastone of the UN SDG go;68
164;OK;How many companies participated in the FrameOfHelp project in 2022?;300;In 2022, as many as 300 companies participated theFrameOfHelp project, with which NLB Group;20
168;OK;How many stages of personal finance management are there in the Bankarium museum?;six;nued its mission in strengthening financialliteracy. Walking through six stages of personal financemanagement, visitors can play digital game;69
170;OK;How many years old is Slovenias banking heritage?;200;of world banking in a multimedia introduction. Then, theyexplore the 200-year-old banking heritage in the Slovenianterritory. SDG4  Quality;69
182;OK;How much of a reduction in paper print will be achieved by 2025?;50%;50% reduction of paper print by 202575% of all electric energy from zer;0
183;OK;How many countries does Slovenia have subsidiaries in?;six;king groups. The Group is presentin a market of 17 million people in six countries Bosniaand Herzegovina, Montenegro, Serbia, the Republic o;69
184;OK;How many main countries of operation are there?;six; activities consumer, business, corporate, andinvestment banking six main countries of operation Slovenia, Bosnia andHerzegovina, North ;65
185;OK;How many countries does the NLB Group operate in?;six;eed levelsfor all 22 impact areas defined by the UNEP FI tool in all sixcountries of the NLBGroup operations based on the data collected on ;69
186;OK;How many stakeholders did the materiality analysis work with?;six;nted a materiality analysis, whichidentified and closely worked with six main stakeholdersinvestors, employees, private clients, regulatory ;69
192;OK;How many advisors does NLB have?;733;covers 733 advisors, 53% bank advisors and 47% financialadvisors. All advisors ;7
193;OK;How much will NLB reduce the number of paper prints in its operations by 2025 compared to 2019?;50%;BGroup will decreasethe number ofpaper prints in itsoperations by 50%comparedto 2019.Number of printsinclusive healthyeconomiesBy 2;66
194;OK;By 2025, NLB Group will decrease the number of paper prints in its operations by what percentage compared to 2019?;50%;B Group will decrease the number of paperprints in its operations by 50% compared to 2019.- introduction of digital signatures and digital to;69
196;OK;How much of the electricity used by NLB Group is purchased from zero-carbon energy sources?;70%;m zero-carbonsources.At the end of 2022, we are already approaching 70% of allelectricity used by NLB Group purchased from zero-carbonenerg;68
197;OK;By 2025, NLB Group will decrease the number of paper prints in its operations by what percentage compared to 2019?;50%;B Group willdecrease the number of paperprints in its operations by 50%compared to 2019NLB Group has decreased paper prints in 2022 by 43%;68
204;OK;By what year does the United Nation want to harmonise credit and investment portfolios with zero net emissions?;2050; credit and investment portfolios with reaching zeronet emissions by 2050 or earlier. We have continued developinga range of green products an;69
207;OK;In what year will we continue to address all ESG pillars in all our banking members throughout the region?;2023;The latter is clear to us. In 2023 we will continue to developand address all ESG pillars in all our ba;30
208;OK;In what year did NLB receive its first ESG rating?;2022;In 2022, NLB received itsfirst ESG rating, placing it amongthe best 15% of ;3
211;OK;What was NLB Group rated as low risk by ESG Risk rating Sustainalytics?;17.7;porate and sustainabilitygovernance standards. NLB Group was rated 17.7  low risk by ESG Risk ratingSustainalytics. Sustainability mana;67
212;OK;How many hours were invested in sustainability related employee trainings?;1,452;adopted and upgradedto increase embeddedness of ESG in operations. 1,452 hours were invested in sustainability relatedemployee trainings.;67
219;OK;In what year did NLB Banka, Beograd merge with Komercijalna Banka?;2022; Srpska.vii Market share in the Federation of BiH.viii In April 2022 NLB Banka, Beograd merged with Komercijalna Banka, Beograd.CEO State;64
220;OK;In what year did the NLB Group become a signatory to the UN PRB and UNEP FI member?;2020;ave been part of NLB Group since very beginning of itsoperations. In 2020, the Bank faced the biggest strategicmilestone, when it became a sig;69
221;OK;When was the NLB group sustainability programme adopted?;2020;opportunities, the NLB Group Sustainability Programmewas adopted in 2020. ;68
222;OK;When did the programme evolve into a comprehensive NLB Group Sustainability Framework?;2021;The programme evolved in 2021 intoa comprehensive NLB Group Sustainability Framework, themandator;25
223;OK;When was the Environmental and Social Management System developed and implemented?;2021;mentation of the Environmental and Social ManagementSystem ESMS in 2021. ESMS is a part of a comprehensive riskmanagement system within NLB ;67
230;OK;What year did NLB continue its focus on fulfilling the impact and target setting commitments?;2022;e we can have the most significant impacts.Activities and results in 2022NLB Group continued its focus on fulfilling the impact andtarget set;69
231;OK;In what year did NLB Group join the United-Nations-Convened Net-Zero Banking Alliance?;2022;t national and regionalframeworks.Activities and results in 2022In 2022 the Group joined the United-Nations-Convened Net-ZeroBanking Alli;60
232;OK;By 2030, what will be the share of active digital retail users in the NLB Group by the year 2025?;55%.;25, the share of active digital retail users in theNLB Group will be 55%.Impact area Inclusive  healthy economiesTarget achivements in 2022;69
237;OK;How much of the energy used in the NLB Group will come from zero-carbon sources by 2030?;75%;porate financing.Publicly announced target by 2030By the year 2030, 75% of all electric energy used in the NLBGroup will come from zero-carb;68
238;OK;What percentage of all electric energy used by NLB comes from zero carbon sources?;75%;porate financing.Publicly announced target by 2030By the year 2030, 75% of all electric energy used in the NLBGroup will come from zero-carb;68
240;OK;When did the NLB Group offer customers loans with a sustainable financing component at a lower interest rate than the Banks regular offer?;2022;rong partnerships in sustainablesolutions.Activities and results in 2022The Group offered customers loans with a sustainable financingcomp;68
243;OK;In what year did NLB Group organize its first Investor Day?;2022;ments into the operations. Organizing special investor days In May 2022, NLB Group organized its first Investor Day in Belgrade. Presentin;67
244;OK;In what year did NLB conduct a materiality analysis?;2021;on people and the environment,we conducted a materiality analysis in 2021, which also served as a foundation for sustainabilityactivities in 2;69
258;OK;Throughout what year were several training sessions on ESG topics organised for different internal stakeholders?;2022;pics forthe Management Board and Supervisory Board alike.Throughout 2022, several training sessions on these topicswere organised for differe;68
260;OK;How much did the bank reduce the use of paper in 2022 compared to the previous year?;19%;our initiatives,the bank managed to reduce the use of paper by upto 19% in 2022 compared to the previous year.;68
265;OK;In what year did the Bank begin preparations for the Policy on Respect for Human Rights in NLB d.d. and the NLB Group?;2022;isabilities, consumerrights and forced labour.In the second half of 2022 the Bank started with preparationsof the comprehensive Policy on Res;68
273;OK;What percentage of electricity carbon footprint was reduced in Slovenia?;70%.;a, NLB Group managed to reduce totalelectricity carbon foot print by 70%. Slight reduction in othercountries was also achieved. Furthermore, i;69
274;OK;When were more personal meetings and other events with external stakeholders conducted?;2022;eetings and other events with external stakeholders wereconducted in 2022 compared to previous years. The Group willstrive to further monitor ;69
277;OK;In what year did NLB acquire N Banka?;2022;% for 2019 and 2020, and 0,1% for 2021 from the prior report.2 In 2022 NLB acquired N Banka, whereas merger of both entities is planned in 2;66
281;OK;What year did Komercijalna Banka Beograd become part of NLB Group?;2021;issions also for 2019 and 2020, despitebecoming part of NLB Group in 2021. However, GHG Protocol suggests recalculating baseline year in case o;69
289;OK;How much was paper usage reduced in 2022 compared to 2021?;17%;ieving this goal has been made aspaper usage prints was reduced by 17% compared to 2021.;67
294;OK;How many employees did NLB increase in 2022?;8,228;s year, the number of employeesincreased by 43 in 2022 to a total of 8,228 employees. InMarch 2022, NLB acquired Slovenian Sberbank subsequent;69
295;OK;How many employees did NLB have in 2022?;8,228;s year, the number of employeesincreased by 43 in 2022 to a total of 8,228 employees. InMarch 2022, NLB acquired Slovenian Sberbank subsequent;69
297;OK;In 2022, how many employees were there at NLB?;8,228;s year, the number of employeesincreased by 43 in 2022 to a total of 8,228 employees. InMarch 2022, NLB acquired Slovenian Sberbank subsequent;69
298;OK;What percentage of NLB Group employees have a tertiary education level?;74%; 2021.Structure of employees in NLB Groupby educationIn NLB Group, 74% of the employees have a tertiaryeducation level.Structure of new em;67
299;OK;What percentage of new employees were men?;32%;Altogether, 32% of new employees weremen and 68% were women.CEO StatementKey Highl;12
300;OK;How many employees left the NLB Group at its significant locations of employment in 2022?;1196;tructure of employee turnover in NLB Groupby gender and ageIn 2022, 1196 employees left the NLB Group at its significantlocations of employme;68
301;OK;How many people left the NLB Group at its significant locations of employment?;1196;tructure of employee turnover in NLB Groupby gender and ageIn 2022, 1196 employees left the NLB Group at its significantlocations of employme;68
302;OK;What percentage of those who left were men?;32%;nd 60, and 166 14% were over 60 years of age.Among those who left, 32% were men and 68% were women.;67
305;OK;How many employees worked from home in 2022?;36%; we actively encouraged working from home.Thus, in 2022, on average, 36% of employees in NLB Groupworked from home every day. And this trend ;69
306;OK;How many employees in the NLB Group work from home every day?;36%; we actively encouraged working from home.Thus, in 2022, on average, 36% of employees in NLB Groupworked from home every day. And this trend ;69
312;OK;How many hours of training did an NLB Group employee do in 2022?;22.4;focused learning and training.On average, an NLB Groupemployee did 22.4 hoursof training in 2022, whilein NLB this number was higherat 32.;67
313;OK;In 2022, how many hours/employee did NLB employees do in training?;32.8;2.4 hoursof training in 2022, whilein NLB this number was higherat 32.8 hours/employee.In the future, the Group will strive to leverage tra;67
314;OK;When was the workplace risk assessment performed?;2022;During the workplace risk assessment performed in2022 we did not identify any high-risk workplaces. There wereno fatalitie;49
318;OK;What type of structure does H stand for?;high;igh Medium High Medium High Medium High Medium HighAge structureH - high MH - medium high ML- medium low L- lowManagement bodies and senio;68
319;OK;What percentage of all management positions were held by women at the end of 2022?;56%; Gender diversity of leadershipAt the end of 2022, women represented 56% of allmanagement positions. ;69
320;OK;How many women are in Management Boards?;24%;24% of women in ManagementBoards NLB d.d. and subsidiaries, 49% of wom;0
321;OK;What percentage of women are at the first management level?;49%;24% of women in ManagementBoards NLB d.d. and subsidiaries, 49% of women at thefirst management level B-1, 52% of women at the sec;60
322;OK;How much of women at the second management level are in management boards?;52%; and subsidiaries, 49% of women at thefirst management level B-1, 52% of women at the secondmanagement level B-2, and 63% of women at th;66
323;OK;When was the Golden Branch competition established?;2022;fortable in thebranch, because work spaces are perfectly arranged. In2022, for the second year in a row, NLB organised the GoldenBranch compet;69
324;OK;What year did NLB organize the Golden Branch competition?;2022;ortable in thebranch, because work spaces are perfectly arranged. In2022, for the second year in a row, NLB organised the GoldenBranch compet;68
325;OK;What percentage of clients are expected to be active on digital channels by 2025?;55%;igital penetration of activecustomers. The goal for NLB Group is for 55% of clients to beactive on digital channels by 2025. ;69
326;OK;When will planned improvements on digital channels be launched?;2023;ital penetration targets in all countries in thecoming years. During 2023, planned improvements on digitalchannels will be launched, as well a;69
327;OK;What percentage of all complaints were resolved positively in 2022?;86%; The preparation of annual report of customers complaints.In 2022, 86% of all complaints were resolved positively. Wehave also set up a pre;67
331;OK;By what year is NLB Groups net-zero strategy implemented?;2023;rategy. With the implementation of NLB Groups net-zero strategy in 2023 it is expected that its impacts will gradually diminish in the long r;67
332;OK;When did several important activities start for the purpose of calculation of credit portfolio GHG emissions?;2022;redit portfolio GHGemissions several important activities started in 2022. Forlarger corporate clients we initiated direct Scope 1  2  3 dat;69
333;OK;When did the GHG calculation start?;2022;redit portfolio GHGemissions several important activities started in 2022. Forlarger corporate clients we initiated direct Scope 1  2  3 dat;69
334;OK;By what year did we form the emission calculation for the Slovenian market?;2022;By end of 2022 we formed the emission calculationfor the Slovenian market, whereas ;10
338;OK;In what year did NLB receive an ESG Risk Rating?;2022;NLB obtained in 2022 for the firsttime an ESG Risk Rating. Assigned rating reflects a low;16
340;OK;In what year are additional key risk indicators and targets in the area of ESG going to be addressed?;2023;ndicators and targets in the area of ESG are going to be addressed in 2023 basedon on-going activities related with the Net Zero Banking Allian;70
342;OK;When did NLB launch its first green financing offer?;2020;uction of the first greenfinancing offer NLB Green Housing Loan in 2020, the Groupcontinues to strengthen its sustainable finance propositio;67
343;OK;When will the Bank take decisive steps in order to be ready to issue one of its future bonds in a green format?;2023;Issuance of bonds in a greenformat is an ambition of NLB. In 2023 the Bank will takedecisive steps in order to be ready to issue one o;61
347;OK;In what year was NLB actively involved in raising awareness of the importance and relevance of the EU Taxonomy?;2022;In 2022 NLB was actively involved in raising awareness ofthe importance and ;3
351;OK;What year did NLB become a Green Partner of the GLWF?;2022;een partner in building regionalmodels to mitigate climate changeIn 2022, NLB became a Green Partner of the GLWF GreenLight World Flight pr;68
352;OK;When will the combined measurements be combined with the results of similar projects?;2023;ned with the results of similarprojects which will be carried out in 2023. The combinedmeasurements will then serve as input and validation da;69
353;OK;In what year will the combined measurements serve as input and validation data for regional models of climate change and the dispersion of pollutants?;2023;ned with the results of similarprojects which will be carried out in 2023. The combinedmeasurements will then serve as input and validation da;69
354;OK;How many seedlings were planted in the Maleevo region?;3700;a Skopje carried outunder the motto Foresting together, we planted 3700seedlings in the MaleL?evo region. This region was one of themost aff;67
355;OK;How many trees were planted on Jahorina?;2100;loyees of NLB Banka Banja Luka took care offorestation on Jahorina  2100 trees were planted by 320employees. SDG 15  Life on Land NLB Ko;68
358;OK;When was the first banking institution established?;1820;on is based on people,banking knowledge and culture reaching back to 1820 whenthe first banking institution  the Carniola Savings Bank  was;69
359;OK;What percentage of businesses managed by women in Montenegro were managed by NLB?;32%;eded for business growth. As the bank ofprimary choice for more than 32% of registered businessesmanaged by women in Montenegro, NLB reciproc;69
360;OK;Who implemented the Women in Business programme?;EBRD;lityAs part of the Women in Business programme implementedby the EBRD and organised by NLB Banka Podgorica, in2022 a series of free educat;65
361;OK;In what year were free education sessions on the topic of Customer Relationship Management held?;2022;amme implementedby the EBRD and organised by NLB Banka Podgorica, in2022 a series of free education sessions on the topic CRM Customer Rela;68
365;OK;How much stake does the Republic of Slovenia have in NLB?;25%;ncial assistance receivedfrom government1. Republic of Slovenia has 25% stake  1 share in NLB.See the Banks page https//www.nlb.si/shares;68
367;OK;What percentage of senior management are hired from the local community?;98%;202-2 Proportion of senior managementhired from the local community98% of senior management are hired from the local community.;67
370;OK;When did both governance bodies address climate-related risks and opportunities?;2022;dingclimate- related in risk management framework, respectively. In 2022, both governancebodies addressed had oversight, discussed and/or ma;68
371;OK;In what year did both governance bodies address ESG related topics?;2022;dingclimate- related in risk management framework, respectively. In 2022, both governancebodies addressed had oversight, discussed and/or ma;68
372;OK;In what year were concrete targets included in the Banks performance plans?;2022;In 2022, concretetargets have been included in their performance plans, and ;3
373;OK;When was the NLB Green Housing Loan introduced?;2020;uction of the first green financing offer NLBGreen Housing Loan in 2020, the Group continues to strengthen its sustainable financepropositio;67
374;OK;In what year is the NLB group sustainability report presented?;2022;egories, and presented inthe report.NLB Group Sustainability Report 2022Chapter Identification and assessmentof climate-related and other E;68
377;OK;How much reduction in CO2 did NLB Group account for in 2022 compared to 2021?;46%;financedemissions of NLB Group accounted for 19,906 t CO2, which is 46% reduction comparedto 2021. . To calculate emissions the guidelines o;68
380;OK;By 2030, how much of all electric energy will come from zero-carbon sources?;75%;50% reduction of paper print by 202575% of all electric energy from zero-carbon sources by 2030. Targets in ;36
381;OK;By what year did NLB Group form the emission calculation for the Slovenian market?;2022;By end of 2022 we formed the emission calculation for the Slovenian market, whereas ;10
383;OK;By the end of what year will NLB Group be merged with KB Bank?;2023;r of the bank wit NLB d.d.,which is to be completed by the end of Q3 2023.Distribution of the number of customers and clientsserved in NLB Gr;69
384;OK;In what year did NLB Group adopt the Sustainability Framework?;2020;sespecify which ones -------------------------None of the aboveIn 2020, NLB Group adopted the Sustainability Framework,which forms the basi;66
387;OK;In what year did NLB Group focus on strengthening governance across the group?;2022;In 2022, NLB Group paid particular attention to strengtheninggovernance acro;3
389;OK;When was the impact analysis based on the UN PRB methodology conducted?;2021;roup conducted the impact analysis based on the UNPRB methodology in 2021 with reference data for 2020.As a first step of the impact analysis,;69
392;OK;How many business lines did the NLB Group portfolio break down into?;four;tors.In the impact analysis, the NLB Group portfolio was brokeninto four business lines according to the UN PRB FI tool, andthe data indicato;68
394;OK;In what year did NLB Group focus its operations on the merger with Komercijalna Banka and the acquisition of N banka?;2022;nalAs described in chapter 1.1. NLB Group focused its operationsin 2022 on the merger with Komercijalna Banka andthe acquisition of N banka.;67
396;OK;In what year was a law passed that protects the energy sector from the negative impacts of climate change?;2019; sectors,had a very high share of greenhouse gas GHG emissions.In 2019, Montenegro adopted a law on protection fromthe negative impacts of ;66
397;OK;What is the reduction of national net GHG emissions by 2050 compared to 1990 levels?;72%; including Forestry and Other Land Use andexcluding MEMO items of 72% by 2050 compared to 1990levels and increased resilience of North Mac;66
405;OK;How many bank advisors do NLB cover?;53%;covers 733 advisors, 53% bank advisors and 47% financialadvisors. All advisors regularly atte;21
406;OK;What percentage of financial advisors are covered by NLB?;47%;covers 733 advisors, 53% bank advisors and 47% financialadvisors. All advisors regularly attend internal and extern;43
408;OK;What year did sustainable corporate financing start?;2021;nable corporate financing. Sustainable corporate financing started in2021 as a new approach focusing exclusively on sustainability-related proj;69
409;OK;Sustainable corporate financing started in what year?;2021;nable corporate financing. Sustainable corporate financing started in2021 as a new approach focusing exclusively on sustainability-related proj;69
410;OK;How many targets did the NLB Bank announce in 2021?;four;reaching the target? Pleasedisclose.The NLB Bank publicly announced four targets in 2021, andin 2022 we started with activities to further de;68
413;OK;How much of all electricity used in NLB Group will come from zero-carbon sources by 2030?;75%;sustainable-finance/overview-sustainable-financeenBy the year 2030,75% of all electricenergy used in NLBGroup will comefrom zero-carbons;67
414;OK;By 2025, what will be the share of active digital retail users in NLB Group?;55%.;y 2025, the shareof active digitalretail users in NLBGroup will be 55%.;67
415;OK;By 2030, what percentage of all electric energy used in NLB Group will come from zero-carbon sources?;75%;YesIn progressNoYesIn progressNoYesIn progressNo2. By 2030, 75% of all electric energy used in NLB Group willcome from zero-carbon s;60
416;OK;The share of active digital retail by 2025 will be what?;55%;y 2025, the share of active digital retail users in NLB Groupwill be 55%- promoting the use of digital channels to various targetgroups via ;69
417;OK;By 2025, the share of active digital retail users in NLB Group will be what percentage?;55%;y 2025, the share of active digital retail users in NLB Groupwill be 55%- promoting the use of digital channels to various targetgroups via ;69
