LABEL;question;answer;context
OK;How many entrepreneurs, farmers, and micro and small businesses did SEE offer their own advertising space to?;274; Withthe HelpFrame project, we offered our own advertisingspace to 274 entrepreneurs, farmers, and micro and smallbusinesses  which would 
OK;What year did the NLB Group embark on a path of more intensive integration of sustainability into banking operations?;2020;nce GRI Standards 2021 RoadmapOur Approach toSustainable BankingIn 2020, the Group embarked on a path of more intensive integration ofsustai
OK;What year was it possible to detect the activities of banks in the Slovenian financial sector in the direction of more ecological and socially acceptable operations?;2020;nce GRI Standards 2021 RoadmapOur Approach toSustainable BankingIn 2020, the Group embarked on a path of more intensive integration ofsustai
OK;What is the name of the policy that stipulates the Groups social role?;Social andEnvironmental Policy;f theESG factors. The Groups social role has been stipulated in its Social andEnvironmental Policy more information available on www.nlb.si/social-responsibility, wh
OK;What does NLB pay special attention to?;knowledge and lifelong learning;r responsible and diligent mentor.The Bank pays special attention to knowledge and lifelong learning. The keypillars of the socially-responsible operations of the NLB Gr
ok;What are the key pillars of the socially-responsible operations of NLB Group?;caringfor its employees and protection of lawfulness and integrity;ypillars of the socially-responsible operations of the NLB Group are caringfor its employees and protection of lawfulness and integrity, as well as thepromotion of entrepreneurship, increasing financial l
OK;What does NLB want to contribute to?;a higher quality of life of the wider society;good performance of the Bank, the latter also wishes tocontribute to a higher quality of life of the wider society. Already in 2011,all NLB Group member banks adopted their Social and
OK;What did all NLB Group member banks adopt in 2011?;Social and EnvironmentalPolicy;er society. Already in 2011,all NLB Group member banks adopted their Social and EnvironmentalPolicy following the example of NLB d.d., and in their operations they act i
OK;What are NLB d.d.s operations in accordance with?;local banking and environmental legislation; of NLB d.d., and in their operations they act inaccordance with the local banking and environmental legislation. In 2019, therevised Policy of the NLB Group was introduced in all c
OK;In what year was the revised Policy of the NLB Group introduced?;2019;naccordance with the local banking and environmental legislation. In 2019, therevised Policy of the NLB Group was introduced in all core membe
OK;In what year did NLB Group members upgrade the Policy?;2020;In 2020, NLB Group members upgraded the Policy once againthis time consideri
OK;In what year did the Bank sign a Contract of Guarantees with the Multilateral Investment Guarantee Agency?;2020;th theEuropean Bank for Reconstruction and Development EBRD and in 2020the Contract of Guarantees with the Multilateral Investment Guarantee
OK;What does ESMS stand for?;Environmental and Social Management System;n this, the Bank and/or Group subsidiaries areobliged to develop its Environmental and Social Management System ESMSand comply with certain ES requirements. In 2020, considerabl
OK;In what year did significant progress be made in establishing a basic mechanism for ES screening?;2020;Management System ESMSand comply with certain ES requirements. In 2020, considerable progresswas made in the area of establishing a basic m
OK;When did the Bank become a signatory to the UN Principles for Responsible Banking?;04-Sep;venia to commit to the UNEP FI Principles forResponsible Banking.On 4 September, the Bank became a signatory to the UN Principles forResponsible Ban
OK;How many banks represent around a third of the global banking industry?;More than 200;in the Sustainable Development Goals andthe Paris Climate Agreement. More than 200 banks which represent arounda third of the global banking industry h
OK;What is the first Slovenian bank to become a member of the CER institute?;NLB;ant partnerships to accelerate ourimplementation of the ESG factors. NLB is the first Slovenian bank thatbecame a member of the CER Centre o
OK;What is Slovenias most important and renowned network of advanced companies?;CER Centre of Energy Efficient Solutionsinstitute; factors. NLB is the first Slovenian bank thatbecame a member of the CER Centre of Energy Efficient Solutionsinstitute, which is Slovenias most important and renowned network ofadvanced 
OK;How many Slovenian companies joined the GREENVISION initiative?;almost 100;We proudlyjoined the initiative together with almost 100 important Slovenian companies.What is more, three NLB representative
OK;How many NLB representatives participated in the first green vision hackathon for a sustainable, smart, and progressive Slovenia?;three;together with almost 100 important Slovenian companies.What is more, three NLB representatives, green visionaries, participated inthe first GRE
OK;What is the IEDC WISE Institute?;World Institute forSustainability and Ethics in Rising Economies;rganised by CER.With the help of the IEDC WISE Institute, which is a World Institute forSustainability and Ethics in Rising Economies, headquartered at IEDC-BledSchool of Management, we established cont
OK;What was the name of the company-wide event that kicked off the NLB Group Sustainability?;NLB GroupSustainability kick-off;ether with theIEDC WISE Institute, we organised a company-wide event NLB GroupSustainability kick-off and started with the extensive awareness-raising andchanging the cu
OK;What is the framework for reporting non-financial information?;Global Reporting Initiative GRI.;ithin the framework of recognisedinternational standards such as the Global Reporting Initiative GRI.With this first NLB Group Sustainability Report 2020, we have changed
OK;What is the acronym for the NLB Group Sustainability Report 2020?;ESG;hanged theway we report about Environmental, Social, and Governance ESG matters,in order to better respond to our stakeholder needs. This r
OK;What does GRI stand for?;Global Reporting Initiative;ithin the framework of recognisedinternational standards such as the Global Reporting Initiative GRI.With this first NLB Group Sustainability Report 2020, we have 
ok;What is the largest banking and financial group in Slovenia?;The NLB Group;RI Standards 2021 RoadmapNLB Group business modeland value creationThe NLB Group is the largest banking and financial group in Slovenia witha strateg
ok;How many subsidiary banks are in SE Europe?;six;e Group consistsof NLB the Bank as the parent company in Slovenia, six subsidiary banks inSE Europe, several companies providing other serv
OK;What percentage of the Bank is owned by the Republic of Slovenia?;25%;The Bank is 25%owned by the Republic of Slovenia. The key strategic areas of operati
ok;What are the key strategic areas of operations of the Group in 2020?;Retail Banking in Slovenia, Corporate Bankingin Slovenia, and Strategic Foreign Markets;ey strategic areas of operations of theGroup in 2020 continued to be Retail Banking in Slovenia, Corporate Bankingin Slovenia, and Strategic Foreign Markets.In financing, the Group follows carefully drafted principles, guidel
ok;What is one of the activities that the Group does not finance that is illegal?;production and trade in weapons;p does not finance activities that include illegalactivities, or the production and trade in weapons, political parties, politicalforums, or religious communities. 
ok;What does NLB want to do to accelerate the growth of its business?;through its presence on internationalfinancial markets with diversifying services for its clients;TheBank would like to accelerate the growth through its presence on internationalfinancial markets with diversifying services for its clients. To overcome andmitigate the impact of COVID-19, responsive measures
ok;How many branches does the Group have on SE European markets?;459;enia, the Groups vastnetwork on the SE European markets consists of 459 branches and services 2.11million active clients.1. As at 31.12.202
ok;How many active clients does Group have?;2.11million;work on the SE European markets consists of 459 branches and services 2.11million active clients.1. As at 31.12.2020, including Komercijalna banka, Be
OK;Where is Komercijalna banka located?;Beograd;on active clients.1. As at 31.12.2020, including Komercijalna banka, Beograd.Strategic Foreign MarketsThe Group Strategic Foreign Markets of ope
OK;When was NLB Sustainability governance established?;2020;ed in our operations.NLB Sustainability governance as established in 2020Compliance and integrity are integrated in our business,governance,
OK;Compliance and integrity were established in what year?;2020;ed in our operations.NLB Sustainability governance as established in 2020Compliance and integrity are integrated in our business,governance,
OK;In what year was NLB Sustainability governance established?;2020;ed in our operations.NLB Sustainability governance as established in 2020Compliance and integrity are integrated in our business,governance,
OK;Who is the leader of the SHIMMPO team?;Bogdan Darmanović;ndards 2021 RoadmapSHIMMPO is a team of young people, led by sculptorBogdan Darmanović, gathered around the idea ofapplied sculpture.Their starting point i
OK;What is the name of the Montenegrin company that combines ancient techniques with modern aesthetics?;SHIMMPO;ls. The team is grateful for such generous support.Bogdan DarmanovićSHIMMPO, MontenegroCombining ancienttechniques withmodern aestheticsincre
OK;What represents an important element of the Groups overall corporate governance?;Risk management;ework Human Rights Regulation  Governance GRI Standards 2021 RoadmapRisk management in NLB Group represents an important element of theGroups overall c
OK;What does NLB Group give high importance to?;the risk culture;d relevant good bankingpractices. NLB Group gives high importance to the risk culture and awarenessof all relevant risks within the entire Group.Maintain
OK;What is engrained in the business strategy of the Group?;Maintaining risk awareness; culture and awarenessof all relevant risks within the entire Group.Maintaining risk awareness is engrained in the business strategy of theGroup. The Groups Risk 
OK;What is the aim of risk management?;todetect and manage new potential emerging risks;.Consequently, risk management is continuously adapting with the aim todetect and manage new potential emerging risks.NLB Group is engaged in contributing to sustainable finance by incor
OK;What is the name of the first NLB project that supports sustainability?;HelpFrame;GRI Standards 2021 RoadmapDue to its inherentlysustainable nature,HelpFrame project hasbecome the first NLB GroupsESG project that bringsbusi
OK;What are some of the external initiatives that NLB supports?;social and humanitarian, arts and culture, health and the environment, and sports;In addition, we also support a range of external initiatives such associal and humanitarian, arts and culture, health and the environment, and sports.13 NLB Group Sustainability Report 2020Contents 2020 Highlights Sus
OK;What is the name of the first NLB Groups ESG project that brings business value to our clients?;HelpFrame;GRI Standards 2021 RoadmapDue to its inherentlysustainable nature,HelpFrame project hasbecome the first NLB GroupsESG project that bringsbusi
OK;What did the bank use to mitigate the consequences of the Covid-19 pandemic?;CSR financial budget;Regulation  Governance GRI Standards 2021 RoadmapMost of the banks CSR financial budget was used to mitigate theconsequences of the Covid-19 pandemic. Since
OK;In what year did the NLB Group establish a basic mechanism for environmental and social screening of current or potential financing applications against MIGA and EBRD Exclusion List?;2020;EBRD,and in 2020 the Contract of Guarantees with MIGA. Therefore, in 2020 theNLB Group successfully established a basic mechanism for environm
OK;What is NLB a market leader in?;green/sustainability financing;Developing a communications plan to position NLB as a market leader ingreen/sustainability financing and identifying and pursuing partnerships togenerate green/sustainab
OK;How much does the NLB Group contribute to the project of the Selac wind farm?;23 million EUR;to 105 MW.The participation of NLB Group in this facility amounts to 23 million EUR.The project of the Selac wind farm will contribute in the production
OK;What percentage of the total electricity production will be produced by the project Selac?;10%;f the Selac wind farm will contribute in the production of atotal of 10% of the total electricity production in Kosovo and will provide asign
ok;What was one of the major projects in the Bank in 2020?;to provide help for youngfamilies;stainable finance.In 2020, one of the major projects in the Bank was to provide help for youngfamilies on their road to their first home with professional advice and materi
OK;What is the maximum amount of the NLB Green Housing Loan?;EUR 1,000;ment of three monthly instalments in the totalamount of a maximum of EUR 1,000 for each client.The NLB Green Housing Loan, with special benefits in
OK;How much lower was NLB d.d.s electricity consumption in 2019?;9.87%;.d. continued with the reduction of electricity consumption,which is 9.87% lower than in 2019 12.338.373 kWh. In NLB Groups coremembers comp
OK;In what two cities did the electricity consumption decrease between 6% and 9.8%?;Sarajevo and Belgrade;olume did not change drasticallyby individual members, except for in Sarajevo and Belgrade, where itdecreased between 6% and 9.8% based on measured consumption
OK;What was the reduction in energy consumption in Sarajevo and Belgrade?;between 6% and 9.8%;dual members, except for in Sarajevo and Belgrade, where itdecreased between 6% and 9.8% based on measured consumption. Powerconsumption in 2020 totalled 11,
OK;What was the total power consumption in 2020?;11,120,149 kWh;.8% based on measured consumption. Powerconsumption in 2020 totalled 11,120,149 kWh compared to 12,338,373 kWhin 2019. 
OK;What year did NLB d.d. use 17.70 sheets of paper per employee per day?;2020; reduced volume of consumed paper in the periodfrom 2018 to 2020.In 2020, NLB d.d. used 17.70 sheets of paper per employee per day. Thereason
OK;What is the reason for the reduced use of paper?;a reduction in the archives on paper;r per employee per day. Thereasons for the reduced use of paper are a reduction in the archives on paperowing to the IT development, introduction of e-signature, the abolish
OK;What other measures are there for reducing costs and streamlining the Banks operations?;installation of central multifunctional devices forprinting, working from home; streamlining of the organisational structureof the bank operations, installation of central multifunctional devices forprinting, working from home, as well as other measures for reducing costs andstreamlining the Ba
OK;How many bank branch offices of NLB d.d. were renovated in 2020?;five;Building managementIn 2020, five bank branch offices of NLB d.d. were renovated. In LjubljanaNLB Tav
OK;How many kilometers did we drive in 2020 using electric cars for business purposes?;17,295;In 2020, we drove a total distance of 17,295 kmusing electric cars for business purposes car sharing. Thus, we 
OK;How much CO2 did we reduce by using electric vehicles instead of liquid fuels?;3,709 kg;siness purposes car sharing. Thus, we contributed toa reduction of 3,709 kg of CO2When using electrical vehicles instead of vehicles using liqui
ok;How many kilometers did NLB d.d. employees drive in 2020 using electric cars?;17,297;el vehicles will be partly reduced. In 2020, NLB d.d. employees drove 17,297km in Ljubljana and its vicinity 3,000 km less than in 2019 using 
ok;What is the HR policy of the NLB Group?;to invest in a systematicdevelopment of employees;Care for employeesThe main goal of the HR policy of the NLB Group is to invest in a systematicdevelopment of employees and permanently follow modern approachesto HR management. Further, H
OK;How many employees were in NLB Group at the end of 2020?;8,792;roupAt the end of 2020, the number of employees in NLB Group rose to 8,792 ofemployees. Compared to 2019, the number of employees was higher by
OK;How many employees did the NLB Group have in 2019?;2,914;ofemployees. Compared to 2019, the number of employees was higher by 2,914due to the acquisition of Komercijalna Banka, Beograd and its subsidi
OK;What was the increase in the number of employees in 2019 due to the acquisition of Komercijalna Banka and its subsidiaries?;2,914;ofemployees. Compared to 2019, the number of employees was higher by 2,914due to the acquisition of Komercijalna Banka, Beograd and its subsidi
OK;How many employees did NLB Group employ at the end of 2020?;69% women and 31% men;ructure in NLB Group by genderAt the end of 2020, NLB Group employed 69% women and 31% men. Notethat Komercijalna Banka, Beograd and its subsidiaries are not 
OK;When was the acquisition of Komercijalna Banka?;late December 2020;not included in thereport for 2020 since the acquisition happened in late December 2020.Figure 5 Employee structure in NLB Group members by gender at the e
OK;When did the acquisition of NLB Group take place?;late December 2020;not included in thereport for 2020 since the acquisition happened in late December 2020.Figure 5 Employee structure in NLB Group members by gender at the e
OK;What is the gender of the NLB group members?;69% women and 31% men;ructure in NLB Group by genderAt the end of 2020, NLB Group employed 69% women and 31% men. Notethat Komercijalna Banka, Beograd and its subsidiaries are not 
OK;What was the average age of employees in the NLB Group at the end of 2020?;44.1 years;roupAt the end of 2020, the average age of employees in NLB Group was44.1 years.NLB Banka,Banja LukaNLB Banka,PodgoricaNLB Banka,SarajevoNLB B
OK;What percentage of NLB Group employees have a tertiary education level?;70%;onStructure of employees by education in the NLB GroupIn NLB Group, 70% of the employees have a tertiary education level.NLB d.d.
OK;How many new employees did NLB Group hire in 2020?;307;new employees in NLB Group by gender and ageIn 2020, NLB Group hired 307 new employees, of which 39.7% wereyounger than 30 years, 5.7% were b
OK;How many employees left NLB Group in 2020?;382;omen.Structure of departures in NLB Group by gender and ageIn 2020, 382 employees left NLB Group. Of these, 12.3% were under 30years of age,
OK;What percentage of NLB employees left the organization in 2020?;6.7%,;rnover of employees voluntary and involuntaryin NLB Group stood at 6.7%, among men it was 7.6%, and amongwomen it was 6.3%.Figure 10 Graph
OK;What was the total turnover of employees in NLB Group in 2020?;6.7%,;rnover of employees voluntary and involuntaryin NLB Group stood at 6.7%, among men it was 7.6%, and amongwomen it was 6.3%.Figure 10 Graph
OK;What was the percentage of staff with disabilities in 2020?;2%.;In 2020, theproportion of staff with disabilities stood at 2%.At the end of 2020, women represented 56% of all management positions
OK;What percentage of employees work from home?;70%; wasnt an option, we introduced various quotas, such as for instance 70%of employees working from home and 30% of employees working in the of
OK;How many participants took part in standard training programmes in 2020?;4,769;nstitutions in Slovenia for the necessarygain of knowledge. In 2020, 4,769 participants took part in standard trainingprogrammes, which took pl
OK;How many e-learning modules were completed by employees from mid-March 2020?;25,502;took place exclusively online from mid-March 2020 on.There were also 25,502 completed e-learning modules done by employees,and 2,029 participati
OK;How often do all banks conduct a corporate engagement survey?;every second year;the work environment,all banks conduct a corporate engagement survey every second year.
OK;How is the performance management process reviewed in all banks?;annually;ent. Theefficiency of the performance management process is reviewed annually inall banks and, if necessary, appropriate measures are taken. 
OK;What has a significant impact on employee performance and commitment?;The ability to reconcile work and family responsibilities;NLB Group as a family-friendly bankThe ability to reconcile work and family responsibilities has a significantimpact on employee performance and commitment. We a
OK;What is an additional day off to enter school for children of employees?;a visit by Santa Claus;easures and organise various events For the children of employees a visit by Santa Claus, an additional dayoff to enter school, introduction to kindergarten,
OK;What is the name of the day that NLB offers to employees in case of prolonged sick leave?;NLB Family Day;ce in case of prolonged sick leave, and sportsactivities, For all NLB Family Day.It means a lot to us that most of our employees appreciate and take 
OK;What includes monitoring of human rights protection?;regular risk assessment;gular due diligence of external contractors and suppliers andthrough regular risk assessment which includes monitoring of, inter alia,human rights protection.
OK;How was the effectiveness of the NLB Group Code of Conduct verified in 2020?;reports received through channels for anonymous reportingof suspected harmful practices;of the NLB Group Code of Conduct in 2020 was furtherverified through reports received through channels for anonymous reportingof suspected harmful practices including the internally accessible NLB Netand publicly accessibl
OK;What did the survey on ethics and compliance with the NLB and in the strategic members of NLB Group find in 2020?;progress in strengtheningthe culture of ethics and compliance; with the NLB andin the strategic members of the NLB Group, we found progress in strengtheningthe culture of ethics and compliance, so NLB Group will continue to implementawareness-raising activities
OK;What does the NLB Groups Code of Conduct establish?;uniform rules of conduct;ce,ethics, and integrityThe NLB Groups Code of Conduct establishes uniform rules of conduct forall NLB Group employees. In the NLB Group, we expect that all emp
OK;What does the NLB Group respect?;human rights, employees rights;and members of the NLBGroup respect human rights, employees rights, as well as general standardsof conduct defined in the NLB Groups C
OK;What defines the values and basic rules of ethical business conduct?;NLB Groups Code of Conduct;oyees rights, as well as general standardsof conduct defined in the NLB Groups Code of Conduct. This defines thevalues and basic rules of ethical business conduct,
OK;What is the basic document defining the desired and prohibited conduct in NLB d.d. and NLB Group?;the NLB Group Code of Conduct;amples and guidelines for the employees have already been included inthe NLB Group Code of Conduct, which is the basic document defining thedesired and prohibited cond
OK;Who has been appointed for the prevention of harassment and mobbing at work?;the Bank has appointed the officer;For this purpose, the Bank has appointed the officer for the prevention ofharassment and mobbing at work and established 
OK;What does NLB aim to prevent?;mobbing and any harassment ofemployees;company to manage these risks.The key goal of NLB d.d. is to prevent mobbing and any harassment ofemployees and to ensure a workplace which successfully prevents this so thatno
OK;What are the HR policies and practices based on?;culture promoting equal opportunities and performance ofemployees;performance are respected. The HR policies and practicesare based on culture promoting equal opportunities and performance ofemployees. 
OK;What is respected at the NLB Group level?;equal opportunities, justice;ody implementing the tasks for NLB d.d.Also, at the NLB Group level, equal opportunities, justice, and promotingculture focused on performance are respected. The HR p
OK;What is prohibited in the HR management practice?;Discrimination;Discrimination is prohibited in the HR management practice.The relationship between
OK;What is the relationship between employees and the management founded on?;trust, support, and constant feed-back;e.The relationship between employees and the management is founded ontrust, support, and constant feed-back. In cases of disagreement, the conflictresolution procedure is defin
OK;What are of key importance to the Bank?;organisational climate/employment engagement and organisational culture;The organisational climate/employment engagement and organisational cultureare of key importance and, therefore, regular measurements are carrie
OK;What is the NLB Group Code of Conduct?;Thetransparency of products and services and employee behaviour;Thetransparency of products and services and employee behaviour is in linewith the NLB Group Code of Conduct. The employees in banks
OK;What do employees in banks possess better knowledge of?;products and services of the Bank;ode of Conduct. The employees in banks possessingbetter knowledge of products and services of the Bank better manage andadvise clients before selling products. This increa
OK;How do NLB members manage risks?;in accordance with theinstructions;r satisfaction andreliability. Members of the NLB Group manage risks in accordance with theinstructions and comply with the requirements of NLB d.d. 
OK;How do members of the NLB Group manage risks?;in accordance with theinstructions;r satisfaction andreliability. Members of the NLB Group manage risks in accordance with theinstructions and comply with the requirements of NLB d.d. 
OK;What does the Bank ensure in the case of its own data?;confidentiality;onduct set out in the NLB Group Code ofConduct. The Bank ensures the confidentiality of data both in the case of itsown data processing and in the case o
OK;What defines the basic goals and principles of protection of people, facilities, information, and property of the bank and its customers?;The NLB Group Code of Conduct;policies and internal or external rules, instructions or regulations4The NLB Group Code of Conduct, and in more detail the NLB CorporateSecurity Policy, defines the ba
OK;What is protected by compliance with regulations in the field of personal data protection and implementation of internal rules and procedures?;the privacy of customers andemployees;In addition, the privacy of customers andemployees is protected by compliance with regulations in the field of personal
OK;When was the GDPR regulation implemented?;2018;new EU rules in the field ofpersonal data protection, implemented in 2018 the so-called GDPRregulation is implemented by the company throu
OK;What does NLB have zero tolerance for?;corruption and bribery;rruption and BriberyAwareness of the importance of the fight against corruption and bribery wasemphasised by the NLB Group in the NLB Group Code of Conduct, whi
OK;What does ECRA stand for?;Enterprise Compliance and integrity Risk Assessment;e methods employed by the company to manage these risks.Based on the Enterprise Compliance and integrity Risk Assessment ECRAdone at the group level, NLB Group did not detect any signific
OK;What does the NLB Group do to fight corruption and bribery?;the NLB Group carriesout several activities to manage these risks;As part of the fight against corruption and bribery, the NLB Group carriesout several activities to manage these risks Ensuring specific terms in written agreements and/or general terms
OK;What is the name of the common platform that was established in 2017?;NLB Group Net;s of the NLB Group. In addition, a common platform of the NLBGroup  NLB Group Net was established in 2017, featuring the most topicalnews from all mar
OK;When was Net established?;2017;a common platform of the NLBGroup  NLB Group Net was established in 2017, featuring the most topicalnews from all markets where the NLB Group
OK;How does the Bank prevent or manage cyber risks arising from the increased volume of work from home?;through implemented measures;nages cyber risks arising from the increased volumeof work from home through implemented measures, some of which areexplained below, namelyPromoting Freedom of Expr
ok;What are some of the ways the customer can contact the Bank?;by e-mail, via the website,and social networks;experience with theBank, which they can do through several channels by e-mail, via the website,and social networks Facebook, Instagram, as well as directly by a call or videocall to
OK;What is a standardised dedicated tool?;Sophos antivirus protection;ell as uninterruptedoperation of standardised dedicated tools e.g., Sophos antivirus protection provided instructions to employees regarding the provision of inf
OK;What does Sophos antivirus protect?;standardised dedicated tools;n working from home is ensured, as well as uninterruptedoperation of standardised dedicated tools e.g., Sophos antivirus protection provided instructions to emplo
OK;What is the only contact center in the field of banking in Slovenia?;NLB Contact Centre;merSatisfactionReorganisation of NLB Contact Centre due to COVID-19NLB Contact Centre is the only contact centre in the field of bankingin Slovenia, that 
OK;How long can customers do business remotely?;24 hours aday;f bankingin Slovenia, that enables customers to do business remotely 24 hours aday, 7 days a week. During the epidemic NLB d.d. has been seeking outnew
OK;What country allows customers to do business remotely 24 hours a day, 7 days a week?;Slovenia; Contact Centre is the only contact centre in the field of bankingin Slovenia, that enables customers to do business remotely 24 hours aday, 7 day
OK;What did NLB introduce long-time elderly customers to?;modern banking services; and we have managed to introduce many long-time elderlycustomers to modern banking services that they now gladly continue to useto this day. In order to keep th
OK;Why have we relocated our operation to a number of locations?;to keep the NLB Contact Centre running 24/7 duringthe epidemic;g services that they now gladly continue to useto this day. In order to keep the NLB Contact Centre running 24/7 duringthe epidemic, we have relocated our operation to a number of locations, thusreduc
OK;What protects our employees by reducing the chance of spreading infection?;Working in smaller groups at different locations;the operational risk and maximising the availability of our services.Working in smaller groups at different locations also protects our employeesby reducing the chance of spreading infec
OK;In what year did we enable hard-of-hearing people to use basic banking services?;2020;enabling sufficient safetydistance in the workplace.At the start of 2020, we enabled those hard-of-hearing to use basic bankingservices throu
OK;What is Processing of Complaints NLB d.d. in compliance with?;legislation governing banking and financialservices;s allow it.Processing of ComplaintsNLB d.d., has in compliance with legislation governing banking and financialservices, two-tier customer complaint resolution system and selected instituti
OK;How many big taxpayers had mutual trust status in Slovenia in 2020?;11;rswho have appropriate internal tax controls in place. In 2020, only 11 bigtaxpayers had such a status in Slovenia.
OK;What does FATCA stand for?;Foreign Account Tax Compliance Act;FATCA, CRSThe United States Foreign Account Tax Compliance Act FATCA andthe Organisation for Economic Co-operation and Developmen
OK;What is the acronym for the Organization for Economic Co-operation and Developments Common Reporting Standard?;CRS;or Economic Co-operation and Developments CommonReporting Standard CRS are designed for greater transparency and toensure that an individu
ok;What does FATCA focus on?;tax evasion by US Persons;s from tax authorities will beunable to do so. FATCA focuses only on tax evasion by US Persons, whilstthe CRS targets offshore tax evasion based on an account hold
OK;How long is the probationary period at the bank?;6-month;d candidatesare employed at the bank for an indefiniteperiod with a 6-month probationary period.b. The definition used for senior management
OK;What is the B-1 level of senior management?;General Managers directlysubordinated to Management Board;.b. The definition used for senior management Senior management General Managers directlysubordinated to Management Board B-1, thedirectors that are subordinated to B-2 levelGeneral Manag
OK;Who are the directors that are subordinated to B-2 level?;General Managers;.b. The definition used for senior management Senior management General Managers directlysubordinated to Management Board B-1, thedirectors that a
OK;When was the acquisition of Komercijalna Banka a.d. Beograd completed?;30.12.2020; Komercijalna Banka a.d. Beogradand its subsidiaries was finished on 30.12.2020,and is thus not included in the report not todistort the data prese
OK;When was Komercijalna Banka a.d. Beograd and its subsidiaries finished?;30.12.2020; Komercijalna Banka a.d. Beogradand its subsidiaries was finished on 30.12.2020,and is thus not included in the report not todistort the data prese
OK;When will implementation of NLB Group policies and procedures be implemented in KB?;2021;fically adopted for anticorruptionarea will be implemented in KB in 2021.NLB Group, non-core membersThe revision of anti-corruption policie
OK;What percentage of current employees are NLB Group core members?;57.70%;y employee category and region.SloveniaNLB Group core members45 57.7% of current employeesNLB Group, non-core members /SEE regionNLB G
OK;How many core banking members are in North Macedonia?;934;rs /SEE regionNLB Group, core banking members- North Macedonia 934 100%NLB Group, non-core members /Data should be interpreted taki
OK;How many NLB members have received anti-corruption training?;45;ownby employee category and region.SloveniaNLB Group core members45 57.7% of current employeesNLB Group, non-core members /SEE regio
OK;What percentage of Serbias core members are MB?;3;on-core members /SEE regionNLB Group, core members- Serbia MB 3 100%, SB 0 0%.
OK;How many A4 pages per employee per working day does NLB Group, core members use?;36.89;.17.70 A4 pages per employeeper working dayNLB Group, core members36.89 A4 pages per employeeper working daySEE region Sarajevo 55.35
OK;What type of paper is used per employee per working day?;A4; 25.81 Prishtina 24,42 Banja Luka40,53Data is related to used A4 paperper employee per working day.NLB d.d.
OK;What was the reduction in electricity consumption for the year 2020?;9.87%; we continued with thereduction of electricity consumption,which is 9.87% lower than in theyear 2019 12,338,373 kWh.NLB Group, core members
OK;How many new employees did NLB have in 2020?;94;the reporting period, by agegroup, gender and region.NLB In total, 94 new employees in 2020.NLB Group In total, 307 new employeesin 2020
OK;How many employees were there in 2020 significant group members?;307; region.NLB In total, 94 new employees in 2020.NLB Group In total, 307 new employeesin 2020 significant group membersNLB d.d.
