LABEL;question;answer;context
OK;What percentage of Supervisory and Management Board Members are women?;31%;Women represent 31% of allSupervisory and Management Board Members.Inclusion and equal 
;What is NLB Group committed to?;inclusion andequal opportunities; Members.Inclusion and equal opportunitiesNLB Group is committed to inclusion andequal opportunities. In 2020 the proportionof staff with disabilities stood at 2%.6,800
OK;In 2020, what was the proportion of staff with disabilities?;2%.;rtunities. In 2020 the proportionof staff with disabilities stood at 2%.6,800 training programsBy the end of the year 4,769 employeespartic
;By the end of the year, how many employees participated in internal training programs?;4.769;abilities stood at 2%.6,800 training programsBy the end of the year 4,769 employeesparticipated in standard internaltraining programs and 2,0
;What is the percentage of women in leadership positions in 2020?;Table 1 %;Table 1 % of women in leadership positions in 2020No corruptionThe anticorrup
OK;When were the anticorruption policies and procedures revised?;secondhalf of 2020;o corruptionThe anticorruption policy andprocedures were revised in secondhalf of 2020. There were no confirmedcases of corruption in 2020.Non-discriminat
;How many confirmed cases of corruption in 2020 were there?;no;policy andprocedures were revised in secondhalf of 2020. There were no confirmedcases of corruption in 2020.Non-discriminationWe have a p
ok;What is our policy of zero tolerance to?;any form of discrimination andviolence;ion in 2020.Non-discriminationWe have a policy of zero toleranceto any form of discrimination andviolence. In reporting period, we had1 incident of discrimination, which was
ok;How many incidents of discrimination were there during the reporting period?;1;o any form of discrimination andviolence. In reporting period, we had1 incident of discrimination, which wasresolved in February 2020 and t
;When was discrimination resolved?;Feb-20;ng period, we had1 incident of discrimination, which wasresolved in February 2020 and therehas not been any signs of mobbing.
;What has not happened?;mobbing;ich wasresolved in February 2020 and therehas not been any signs of mobbing.
;What does the NLB conduct its tax operations in line with?;the purpose and therequirements of the relevant legislation;tional tax standardsThe NLB conducts its tax operationsin line with the purpose and therequirements of the relevant legislationand in accordance with the internationalstandards e.g. OECD guideli
;How many small local businesses did the HelpFrame project address?;274;dance with the internationalstandards e.g. OECD guidelines.Helped 274 small local businessesHelpFrame project intensively addressedthe B
;What is the goal of the helpframe project?;to establish a regionalsustainability program;ronmental and socialrole in all markets of NLB Group, asour goal is to establish a regionalsustainability program. 83 companiesfrom Slovenia are presented throughthe project and 274
;What is the goal of NLB Group?;establish a regionalsustainability program;mental and socialrole in all markets of NLB Group, asour goal is to establish a regionalsustainability program. 83 companiesfrom Slovenia are presented throughthe project and 274
;How many companies from Slovenia are presented through the project?;83;Group, asour goal is to establish a regionalsustainability program. 83 companiesfrom Slovenia are presented throughthe project and 274 fro
;What did NLB Group start developing?;sustainabilitygovernance;Sustainability governanceNLB Group started developing sustainabilitygovernance Sustainability coordinatorand ESMS Officers being appointed.Up to
;How much lower was electricity consumption in 2019 in NLB d.d.?;10%;We continued with the reduction ofelectricity consumption, which was 10%lower than in 2019 in NLB d.d. In NLB Group,core members, compared t
;What is percentage in electricity consumption reduction in NLB dd in 2019?;;
;In Sarajevo and Belgrade, what did the volume of electricity consumption not change drastically?;between 6 and 9.8%.;nge drastically,except for Sarajevo and Belgrade, whereit decreased between 6 and 9.8%.UN Principles for Responsible bankingNLB Group became a signatory to
;Where did volume decrease between 6 and 9.8%?;Sarajevo and Belgrade; to previous years,the volume did not change drastically,except for Sarajevo and Belgrade, whereit decreased between 6 and 9.8%.UN Principles for Responsible
;What group became a signatory to the UN Principles for Responsible banking?;NLB Group;t decreased between 6 and 9.8%.UN Principles for Responsible bankingNLB Group became a signatory to theUN Principles for Responsible banking.
;How much did our CO2 emissions decrease?;28%.;, related to theuse of company cars and vaultvehicles, decreased by 28%.69% of female employeesAt the end of 2020, NLB Group employed69% of
OK;What percentage of female employees were employed by NLB Group in 2020?;58%;der than 50 years.Altogether, 42% of the newly employedwere men and 58% women. 
OK;How many new employees were hired at NLB?;307;ployed69% of women and 31% of men.307 new employeesNLB Group hired 307 new employees,of which 39.7% were younger than 30years, 57% were be
OK;Which percentage of employees were between 30 and 50?;57%;p hired 307 new employees,of which 39.7% were younger than 30years, 57% were between 30 and 50 yearsold, and 3.3% were older than 50 years.
OK;What percentage of the newly employed were men?;42%;n 30 and 50 yearsold, and 3.3% were older than 50 years.Altogether, 42% of the newly employedwere men and 58% women. 
OK;What percent of the new employed were women?;58%;der than 50 years.Altogether, 42% of the newly employedwere men and 58% women. 
OK;What percentage of new hires were hired from local community?;97%;97% of newhires were hired from local community.Up to 35% lower paper u
;How much lower was the amount of paper usage in NLB d.d. compared to 2019?;35%;n. In NLB d.d., compared to 2019,the amount of paper use decreased by35% from 27 to 18 pages per employeeper working day. 
;What is percentage of reduction in the amount of paper usage in NLB dd in 2020 year compared to 2019 year?;;
;What was the decrease in paper usage from 27 to 18 pages per employee per working day?;35%;n. In NLB d.d., compared to 2019,the amount of paper use decreased by35% from 27 to 18 pages per employeeper working day. 
;How much did the quantity by individual members decrease in NLB Group?;between 15 to 23%.; NLB Group, coremembers the quantity by individualmembers decreased between 15 to 23%.SupervisoryBoards and MBNLB Group Sustainability Report 2020 2020 H
OK;What is the name of the report that highlights the sustainability framework?;Sustainability Report 2020 2020;bers decreased between 15 to 23%.SupervisoryBoards and MBNLB Group Sustainability Report 2020 2020 Highlights Sustainability Framework Human Rights Regulation  Governa
;In what group do we believe we have grown up?;NLB Group;s Regulation  Governance GRI Standards 2021 RoadmapCEO StatementIn NLB Group, we believe that we have grown up! That is why we have putthe sustai
;What is at the center of our operations?;the sustainability of our business decisions and actions; NLB Group, we believe that we have grown up! That is why we have putthe sustainability of our business decisions and actions in the very centre ofour operations. As a systemic player, we are in
;As a systemic player, we are in the position to truly influence the environment in which we operate and to fulfil what mission?;to impactthe quality of life in our home region;fluencethe environment in which we operate and to fulfil our mission to impactthe quality of life in our home region. 
;What is our mission?;impactthe quality of life in our home region;encethe environment in which we operate and to fulfil our mission to impactthe quality of life in our home region. 
;How do we impact the quality of life in our region?;the quality of life in our home region;he environment in which we operate and to fulfil our mission to impactthe quality of life in our home region. 
;What are the Principles for Responsible Banking?;global United Nations;We have also committed to this byapproaching the global United Nations Principles for responsible banking,another in a series of the Groups
;What do we claim sustainability is?;an actual series of decisions and actions;laim that sustainability is not just something one puts on paper, butan actual series of decisions and actions with which we aim to become acompany with an important positive impa
;How do we address sustainability?;in all of our markets; positive impact on the environment in our homeregion. We address it in all of our markets, with the aim of establishing aregional sustainability platform. We 
;What do we aim to become a company with an important positive impact on?;the environment;which we aim to become acompany with an important positive impact on the environment in our homeregion. We address it in all of our markets, with the aim
;What is the aim of establishing a regional sustainability platform?;We address it in all of our markets;h an important positive impact on the environment in our homeregion. We address it in all of our markets, with the aim of establishing aregional sustainability platform. We 
;How do we support individuals and businesses with a local and international reach?;understood their role in the context of sustainability in a comparable way; a local and international reach, who create and perform here and haveunderstood their role in the context of sustainability in a comparable way.
;In what year has this commitment already brought results?;2020;This commitment has already brought results in 2020. The pandemic fuelledour drive for digitization and sparked us to fu
;The pandemic fuelled our drive for what?;digitization;s already brought results in 2020. The pandemic fuelledour drive for digitization and sparked us to further expand the range of ourdigital services, a
;What changed the paradigm of how we understand our business?;The pandemic;This commitment has already brought results in 2020. The pandemic fuelledour drive for digitization and sparked us to further expand t
;What has changed the paradigm of how we understand our work environment?;The pandemic;This commitment has already brought results in 2020. The pandemic fuelledour drive for digitization and sparked us to further expand t
OK;What has accelerated the transition to working from home?;The pandemic;This commitment has already brought results in 2020. The pandemic fuelledour drive for digitization and sparked us to further expand t
;We are enormously proud of our first Group-wide CSR project?;HelpFrame;SR project  with theclearly defined sustainability component called HelpFrame  with whichwe have really been proving our genuine loyalty and supp
;What was the name of our first Group-wide CSR project?;HelpFrame;SR project  with theclearly defined sustainability component called HelpFrame  with whichwe have really been proving our genuine loyalty and supp
;What is the HelpFrame?;sustainability component; proud of our first Group-wide CSR project  with theclearly defined sustainability component called HelpFrame  with whichwe have really been proving our genuin
;What type of loan have we offered our clients?;Green Housing Loan;ing sustainability in our minds, we have also offered ourclients the Green Housing Loan and supported green investment opportunities.However, we understand 
;What kind of investment opportunities have we supported?;green;we have also offered ourclients the Green Housing Loan and supported green investment opportunities.However, we understand and approach sustain
;How do we approach sustainability in the banking sector?;as it is truly intended;wever, we understand and approach sustainability in the banking sectoras it is truly intended. Besides environmental issues, we are also addressingsocial and gove
;We advocate equal opportunities as well as what else?;independent and professional corporate governance;al and governance topics. We advocate equal opportunities, as well asindependent and professional corporate governance. 
;What topics do we advocate?;equal opportunities, as well asindependent and professional corporate governance;ues, we are also addressingsocial and governance topics. We advocate equal opportunities, as well asindependent and professional corporate governance. 
;What do we want to become a beacon of?;sustainable operations;We want to become abeacon of sustainable operations and one of the most responsible companiesin the region.We have init
;What is the journey to sustainable banking?;It is a long and, in ourregion, very challenging one;esin the region.We have initiated a journey to sustainable banking. It is a long and, in ourregion, very challenging one, but we know where we are heading and whatour goal is. As an institu
;How do we know where we are heading?;sustainable banking;t responsible companiesin the region.We have initiated a journey to sustainable banking. It is a long and, in ourregion, very challenging one, but we know w
;What do we want to be one of the key drivers of change?;As an institution with a systemic reach;allenging one, but we know where we are heading and whatour goal is. As an institution with a systemic reach, we want to be one ofthe key drivers of change and one of the most m
;What is the name of the institution with a systemic reach?;we want to be one ofthe key drivers of change;eading and whatour goal is. As an institution with a systemic reach, we want to be one ofthe key drivers of change and one of the most meaningful companies andmost desirable employers
;What is our most honest wish, ambition, and plan?;for it to thrive;Ourmost honest wish, ambition, and plan is for it to thrive hence, we support it,nurture it, invest in it, and make sure that i
;What do we support, nurture, invest in, and make sure it is ready for?;whatever may come;rt it,nurture it, invest in it, and make sure that it is ready  for whatever may come.BlaÅ¾ BrodnjakCEOIn 2020 we learnt a lot. We received important ins
OK;Who was the CEO in 2020?;Blaž Brodnjak;invest in it, and make sure that it is ready  for whatever may come.BlaÅ¾ BrodnjakCEOIn 2020 we learnt a lot. We received important insights that we m
;What did the pandemic experience emphasize the importance of between colleagues and clients?;knowledge, experience, andtrust;idlywithout the pandemic experience. It emphasised the importance of knowledge, experience, andtrust between colleagues and between us and our clients. 
;What did the experience bring to the forefront?;theimportance of sustainable business and living;o further strengthen our bonds and, most importantly, it also brought theimportance of sustainable business and living to the forefront. The question remains, however,whether the experien
;What did we learn from the experience?;wegot a rare opportunity to further strengthen our bonds;In the end, we in fact realised that wegot a rare opportunity to further strengthen our bonds and, most importantly, it also brought theimportance of sustainable 
;How did we feel about the opportunity?;whether the experience has shocked us enough to actually put sustainable development first; business and living to the forefront. The question remains, however,whether the experience has shocked us enough to actually put sustainable development first orwill the lessons of 2020 be forgotten once the pandemic is under c
;What did the COVID-19 pandemic cause a downturn in?;theeconomy;own well-being and future?The COVID-19 pandemic caused a downturn in theeconomy, but on the other hand it also brought us somepositives. 
;When will the lessons of 2020 be forgotten?;once the pandemic is under control;ustainable development first orwill the lessons of 2020 be forgotten once the pandemic is under control. Are we mature enoughto finally realise that it is us who are primar
;What caused a downturn in the economy?;The COVID-19 pandemic;s us who are primarily responsible for our own well-being and future?The COVID-19 pandemic caused a downturn in theeconomy, but on the other hand it also broug
;What brought us some positives?;The COVID-19 pandemic;s us who are primarily responsible for our own well-being and future?The COVID-19 pandemic caused a downturn in theeconomy, but on the other hand it also broug
OK;What is one of the most recognized projects of 2020 in the entire region of SEE?;HelpFrame project;ognised projects of 2020 in the entireregion of SEE is certainly the HelpFrame project. Withthe HelpFrame project, we offered our own advertisingspace to
;What is the HelpFrame project?;we offered our own advertisingspace;SEE is certainly the HelpFrame project. Withthe HelpFrame project, we offered our own advertisingspace to 274 entrepreneurs, farmers, and micro and smallbusinesses  which
;What is the name of the HelpFrame project?;One of the most recognised projects of 2020 in the entireregion of SEE;e enthusiasticabout finding sustainable, especially local solutions.One of the most recognised projects of 2020 in the entireregion of SEE is certainly the HelpFrame project. Withthe HelpFrame project, we 
OK;How many entrepreneurs, farmers, and micro and small businesses did SEE offer their own advertising space to?;274; Withthe HelpFrame project, we offered our own advertisingspace to 274 entrepreneurs, farmers, and micro and smallbusinesses  which would 
;What kind of business can reach potential customers?;micro and smallbusinesses; offered our own advertisingspace to 274 entrepreneurs, farmers, and micro and smallbusinesses  which would be difficult for them to affordin these times  and th
;What is an important contribution to strengthening domestic small business?;advertisingspace;e HelpFrame project. Withthe HelpFrame project, we offered our own advertisingspace to 274 entrepreneurs, farmers, and micro and smallbusinesses  which
OK;What year did the NLB Group embark on a path of more intensive integration of sustainability into banking operations?;2020;nce GRI Standards 2021 RoadmapOur Approach toSustainable BankingIn 2020, the Group embarked on a path of more intensive integration ofsustai
OK;What year was it possible to detect the activities of banks in the Slovenian financial sector in the direction of more ecological and socially acceptable operations?;2020;nce GRI Standards 2021 RoadmapOur Approach toSustainable BankingIn 2020, the Group embarked on a path of more intensive integration ofsustai
;What strengthened banking agendas related to environmental and social risk management?;COVID-19pandemic;irectionof more ecologically and socially acceptable operations, the COVID-19pandemic strengthened banking agendas related to environmental and socialrisk
;The COVID-19 pandemic strengthened what?;banking agendas;nd socially acceptable operations, the COVID-19pandemic strengthened banking agendas related to environmental and socialrisk management, and thus more co
OK;What is the name of the policy that stipulates the Groups social role?;Social andEnvironmental Policy;f theESG factors. The Groups social role has been stipulated in its Social andEnvironmental Policy more information available on www.nlb.si/social-responsibility, wh
;What has paved the way for more than a decades work on responsible banking?;Social andEnvironmental Policy;f theESG factors. The Groups social role has been stipulated in its Social andEnvironmental Policy more information available on www.nlb.si/social-responsibility, wh
;The Banks ambition is to focus on what?;sustainability integration;ble banking. However, the Banks ambition is to increasingly focuson sustainability integration and translate it into a real value-added. 
;What is the focus of sustainability integration?;translate it into a real value-added;s ambition is to increasingly focuson sustainability integration and translate it into a real value-added. 
;What does sustainability integration translate into?;a real value-added;ncreasingly focuson sustainability integration and translate it into a real value-added. 
;What does the transition to sustainable banking require?;the adaptation of most processes inthe Group;Thetransition to sustainable banking requires the adaptation of most processes inthe Group, as well as changes in the banking culture.The NLB Group is responsi
;What is the NLB Group responsible to its clients, employees, and the social environment?;responsible and diligent mentor;ents, employees, and the socialenvironment, and aims to become their responsible and diligent mentor.The Bank pays special attention to knowledge and lifelong learning. 
;The Bank pays special attention to what?;knowledge and lifelong learning;r responsible and diligent mentor.The Bank pays special attention to knowledge and lifelong learning. The keypillars of the socially-responsible operations of the NLB Gr
OK;What does NLB pay special attention to?;knowledge and lifelong learning;r responsible and diligent mentor.The Bank pays special attention to knowledge and lifelong learning. The keypillars of the socially-responsible operations of the NLB Gr
ok;What are the key pillars of the socially-responsible operations of NLB Group?;caringfor its employees and protection of lawfulness and integrity;ypillars of the socially-responsible operations of the NLB Group are caringfor its employees and protection of lawfulness and integrity, as well as thepromotion of entrepreneurship, increasing financial l
;What are the three main areas of support for professional and youth sports?;humanitarian activities;ion of entrepreneurship, increasing financial literacy and mentorship,humanitarian activities, support to professional and youth sports, and theprotection of cult
;What is the third area of support?;professional and youth sports, and theprotection of cultural heritage;inancial literacy and mentorship,humanitarian activities, support to professional and youth sports, and theprotection of cultural heritage.
OK;What does NLB want to contribute to?;a higher quality of life of the wider society;good performance of the Bank, the latter also wishes tocontribute to a higher quality of life of the wider society. Already in 2011,all NLB Group member banks adopted their Social and
OK;What did all NLB Group member banks adopt in 2011?;Social and EnvironmentalPolicy;er society. Already in 2011,all NLB Group member banks adopted their Social and EnvironmentalPolicy following the example of NLB d.d., and in their operations they act i
;How did NLB d.d. operate?;inaccordance with the local banking and environmental legislation;y following the example of NLB d.d., and in their operations they act inaccordance with the local banking and environmental legislation. In 2019, therevised Policy of the NLB Group was introduced in all c
OK;What are NLB d.d.s operations in accordance with?;local banking and environmental legislation; of NLB d.d., and in their operations they act inaccordance with the local banking and environmental legislation. In 2019, therevised Policy of the NLB Group was introduced in all c
OK;In what year was the revised Policy of the NLB Group introduced?;2019;naccordance with the local banking and environmental legislation. In 2019, therevised Policy of the NLB Group was introduced in all core membe
OK;In what year did NLB Group members upgrade the Policy?;2020;In 2020, NLB Group members upgraded the Policy once againthis time consideri
;What are the UN Sustainable Development Goals?;SDGs;cy once againthis time considering UN Sustainable Development Goals SDGs.NLB Group records sustainable financial performanceand actively co
;How does NLB group contribute to a more balanced and inclusive system?;actively;Goals SDGs.NLB Group records sustainable financial performanceand actively contributes to a more balanced andinclusive economic and social syst
;What is the NLB Groups sustainability framework?;Transparency and Accountability;and TargetsClients and CustomersStakeholdersGovernance and CultureTransparency and AccountabilityNLB Group Sustainability frameworkWith the adoption of the Groups S
;When is the Groups sustainability strategy adopted?;end of 2020; Sustainability program, including thesustainability strategy at the end of 2020, the Bank has moved from the raisingawareness phase to the phase of 
;What has the Bank moved from the raising awareness phase to?;actively implementing sustainability elementsinto the business model;, the Bank has moved from the raisingawareness phase to the phase of actively implementing sustainability elementsinto the business model. The goal of this organisation-wide initiative is toensure sustainab
;What is the goal of the organisation-wide initiative?;toensure sustainable financial performance of the Bank; the business model. The goal of this organisation-wide initiative is toensure sustainable financial performance of the Bank by considering socialand environmental risks and opportunities in it
;What does the Bank consider in its operations to ensure sustainable financial performance?;socialand environmental risks and opportunities;oensure sustainable financial performance of the Bank by considering socialand environmental risks and opportunities in its operations, and to activelycontribute to a more balanced and 
OK;In what year did the Bank sign a Contract of Guarantees with the Multilateral Investment Guarantee Agency?;2020;th theEuropean Bank for Reconstruction and Development EBRD and in 2020the Contract of Guarantees with the Multilateral Investment Guarantee
OK;What does ESMS stand for?;Environmental and Social Management System;n this, the Bank and/or Group subsidiaries areobliged to develop its Environmental and Social Management System ESMSand comply with certain ES requirements. In 2020, considerabl
OK;In what year did significant progress be made in establishing a basic mechanism for ES screening?;2020;Management System ESMSand comply with certain ES requirements. In 2020, considerable progresswas made in the area of establishing a basic m
;What is in progress to strengthen ESMS?;Further actions;Further actions to strengthen ESMS are in progress.Contribution tothe SocietySusta
;What is the first bank from Slovenia to commit to the UNEP FI Principles for Responsible Banking?;NLB;ance GRI Standards 2021 RoadmapUN Principles for Responsible BankingNLB is the first bank from Slovenia to commit to the UNEP FI Principles f
;When did the NLB Group Sustainability Report 2020 2020 Highlights Sustainability Framework?;04-Sep;venia to commit to the UNEP FI Principles forResponsible Banking.On 4 September, the Bank became a signatory to the UN Principles forResponsible Ban
OK;When did the Bank become a signatory to the UN Principles for Responsible Banking?;04-Sep;venia to commit to the UNEP FI Principles forResponsible Banking.On 4 September, the Bank became a signatory to the UN Principles forResponsible Ban
;What is the unique framework for ensuring that signatory banks strategy and practice align with the vision society has set out for its future?;UN Principles forResponsible Banking;sponsible Banking.On 4 September, the Bank became a signatory to the UN Principles forResponsible Banking and UNEP FI member, which is a unique frameworkfor ensuring that s
;What has set out for its future in the Sustainable Development Goals and the Paris Climate Agreement?;society;ing that signatory banks strategy and practice align with the visionsociety has set out for its future in the Sustainable Development Goals andt
OK;How many banks represent around a third of the global banking industry?;More than 200;in the Sustainable Development Goals andthe Paris Climate Agreement. More than 200 banks which represent arounda third of the global banking industry h
;What does the banking community make the positive contribution to?;people and the planet;ture in which the banking community makes the positive contribution topeople and the planet that society expects. 
;What does society expect society to do?;positive contribution topeople and the planet;ing the way towardsa future in which the banking community makes the positive contribution topeople and the planet that society expects. 
;How many months is the Bank expected to publish its first reporting and self-assessment on the UN Principles for Responsible Banking?;18;d self-assessment on the UN Principles for ResponsibleBanking within 18 months of becoming a signatory. Within a maximum offour years, the B
;How long must the Bank implement the required steps regarding impact analysis, target-setting  implementation and accountability?;Within a maximum offour years;les for ResponsibleBanking within 18 months of becoming a signatory. Within a maximum offour years, the Bank must fully implement the required steps regarding impactan
;What year did the Bank enter some very important partnerships?;2020;etting  implementation, and accountability.Building partnershipsIn 2020, we entered some very important partnerships to accelerate ourimplem
OK;What is the first Slovenian bank to become a member of the CER institute?;NLB;ant partnerships to accelerate ourimplementation of the ESG factors. NLB is the first Slovenian bank thatbecame a member of the CER Centre o
OK;What is Slovenias most important and renowned network of advanced companies?;CER Centre of Energy Efficient Solutionsinstitute; factors. NLB is the first Slovenian bank thatbecame a member of the CER Centre of Energy Efficient Solutionsinstitute, which is Slovenias most important and renowned network ofadvanced 
;What does the renowned network of advanced companies play a leading role in promoting and developing climate neutral economy and green technologies?;CER Centre of Energy Efficient Solutionsinstitute; factors. NLB is the first Slovenian bank thatbecame a member of the CER Centre of Energy Efficient Solutionsinstitute, which is Slovenias most important and renowned network ofadvanced 
OK;How many Slovenian companies joined the GREENVISION initiative?;almost 100;We proudlyjoined the initiative together with almost 100 important Slovenian companies.What is more, three NLB representative
OK;How many NLB representatives participated in the first green vision hackathon for a sustainable, smart, and progressive Slovenia?;three;together with almost 100 important Slovenian companies.What is more, three NLB representatives, green visionaries, participated inthe first GRE
OK;What is the IEDC WISE Institute?;World Institute forSustainability and Ethics in Rising Economies;rganised by CER.With the help of the IEDC WISE Institute, which is a World Institute forSustainability and Ethics in Rising Economies, headquartered at IEDC-BledSchool of Management, we established cont
;Where is the World Institute for Sustainability and Ethics in Rising Economies headquartered?;IEDC-BledSchool of Management;e forSustainability and Ethics in Rising Economies, headquartered at IEDC-BledSchool of Management, we established contact with several sustainabilityleaders from all 
;What did we establish contact with several sustainability leaders from all over the world?;IEDC WISE Institute;art, and progressiveSlovenia, organised by CER.With the help of the IEDC WISE Institute, which is a World Institute forSustainability and Ethics in Rising E
;Along with the IEDC WISE Institute, what company-wide event did we organize?;NLB GroupSustainability kick-off;ther with theIEDC WISE Institute, we organised a company-wide event NLB GroupSustainability kick-off and started with the extensive awareness-raising andchanging the cu
;What did the IEDC WISE Institute do?;World Institute forSustainability and Ethics in Rising Economies;rganised by CER.With the help of the IEDC WISE Institute, which is a World Institute forSustainability and Ethics in Rising Economies, headquartered at IEDC-BledSchool of Management, we established cont
OK;What was the name of the company-wide event that kicked off the NLB Group Sustainability?;NLB GroupSustainability kick-off;ether with theIEDC WISE Institute, we organised a company-wide event NLB GroupSustainability kick-off and started with the extensive awareness-raising andchanging the cu
;What will we align our business strategy to be consistent with?;individuals needs and societys goals;l align our business strategy tobe consistent with and contribute toindividuals needs and societys goals, asexpressed in the Sustainable DevelopmentGoals, the Paris Climate
;What are the Sustainable Development Goals, the Paris Climate Agreement and relevant national and regional frameworks expressed in?;Alignment;AlignmentWe will align our business strategy tobe consistent with and contrib
;Who will proactively and responsibly consult, engage and partner with relevant stakeholders to achieve societys goals?;Stakeholders;aris Climate Agreement andrelevant national and regional frameworks.StakeholdersWe will proactively and responsiblyconsult, engage and partner with 
;How will we implement our commitment to these Principles?;througheffective governance and cultureof responsible banking;rnance  CultureWe will implement our commitmentto these Principles througheffective governance and cultureof responsible banking.Clients  CustomersWe will work responsibly with ourclients and ou
;What will we work responsibly with our clients and our customers to encourage?;sustainable practices;will work responsibly with ourclients and our customers to encouragesustainable practices and enable economicactivities that create shared prosperityfor curr
;How will we monitor our individual and collective implementation of the Principles?;periodically review;Transparency  AccountabilityWe will periodically review our individualand collective implementation ofthese Principles and 
;What will we continuously increase our positive impacts while reducing the negative impacts on people and environment?;Impact  Target Setting;ositive and negative impacts andour contribution to societys goals.Impact  Target SettingWe will continuously increase our positiveimpacts while reducing the
;How does NLB manage the risks to, people and environment resulting from its activities, products and services?;Impact  Target Setting;ositive and negative impacts andour contribution to societys goals.Impact  Target SettingWe will continuously increase our positiveimpacts while reducing the
;Where will NLB set and publish targets where we can have the most significant impacts?;Impact  Target Setting;ositive and negative impacts andour contribution to societys goals.Impact  Target SettingWe will continuously increase our positiveimpacts while reducing the
;What is NLBs annual performance in terms of responsible banking?;Sustainability reporting;t and publish targets wherewe can have the most significant impacts.Sustainability reportingNLB reports on its performance annually in terms of responsible banki
;What are the main actions and commitments of the Bank in these areas?;Sustainability reporting;t and publish targets wherewe can have the most significant impacts.Sustainability reportingNLB reports on its performance annually in terms of responsible banki
;What is the Banks relationship to its main stakeholders?;Sustainability reporting;t and publish targets wherewe can have the most significant impacts.Sustainability reportingNLB reports on its performance annually in terms of responsible banki
;What does the NLB report on?;the main initiatives it develops with society and the environment;In addition, the Bank alsoreports on the main initiatives it develops with society and the environment,particularly in the communities where it operates. For the reporting
OK;What is the framework for reporting non-financial information?;Global Reporting Initiative GRI.;ithin the framework of recognisedinternational standards such as the Global Reporting Initiative GRI.With this first NLB Group Sustainability Report 2020, we have changed
;The first NLB Group Sustainability Report 2020 is what?;annual report; better respond to our stakeholder needs. This report accompaniesour annual report and represents the first attempt to provide a data-drivensummary of 
OK;What is the acronym for the NLB Group Sustainability Report 2020?;ESG;hanged theway we report about Environmental, Social, and Governance ESG matters,in order to better respond to our stakeholder needs. This r
OK;What does GRI stand for?;Global Reporting Initiative;ithin the framework of recognisedinternational standards such as the Global Reporting Initiative GRI.With this first NLB Group Sustainability Report 2020, we have 
;In order to better respond to our stakeholder needs, what has GRI changed?;way we report about Environmental, Social, and Governance;h this first NLB Group Sustainability Report 2020, we have changed theway we report about Environmental, Social, and Governance ESG matters,in order to better respond to our stakeholder needs. T
;Slovenia Bosnia and Herzegovina Kosovo Serbia Montenegro North Macedonia NLB Group Sustainability Report 2020 2020 Highlights Sustainability Framework Human Rights Regulation  Governance GRI Standards 2021 Roadmap NLB;Skopje;Standards 2021 RoadmapNLB, LjubljanaNLB Banka,PrishtinaNLB Banka,SkopjeKomercijalnaBanka, BeogradNLB Banka,Banja LukaKomercijalnaBanka,
;What region are clients of NLB Group from?;jalnaBanka;anka,SkopjeKomercijalnaBanka, BeogradNLB Banka,Banja LukaKomercijalnaBanka, Banja LukaNLB Banka,BeogradNLB Banka,SarajevoNLB Banka,Podgori
;What does the Group take superior care of its customers?;abetter;solutions, theGroup takes superior care of its customers and creates abetter life, a better future for us all. Welcome to our home.iBranch o
