Controlled by,LABEL,question,answer,context
BST,,"Where is the Chapter Health and safety in the Sustainability Report, page 57?",2,"1. See Chapter Health and safety in the Sustainability Report, page 572. See Appendix 5 Overview of sustainability  related policies in NLB"
BST,,"What is the name of the chapter Human Resources in the Annual Report, page 106 GRI 405 Diversity and Equal 405-1 Diversity of governance bodies and employees?",2,"diversity and equal opportunity in the SustainabilityReport, page 512. See chapter Human Resources in the Annual Report, page 106GRI 405 "
BST,,What is the chapter Diversity of the highest governance bodies in the Sustainability Report?,1,iversityand Equal405-1 Diversity of governancebodies and employees1. See chapter Diversity of the highest governance bodies in the Sustai
BST,,What was the NLB Group Sustainability Report 2022?,1,n with broader strategic topics. NLB Group Sustainability Report 20221. 
BST,OK,How many strategic pillars does the NLB sustainability roadmap have?,3,"ng term.1. NLB sustainability roadmap encompasses decisive approach, 3 strategic pillarsSustainable Operations, Sustainable Finance, Contr"
BST,OK,How many strategic pillars are there?,3,"ng term.1. NLB sustainability roadmap encompasses decisive approach, 3 strategic pillarsSustainable Operations, Sustainable Finance, Contr"
BST,,What percentage of your banks portfolio is distributed in terms of geographies?,%,"the distribution of your banksportfolio % in terms of geographies, segments i.e. bybalance sheet and/or off-b"
BST,,What percentage of its portfolio has your bank considered in the analysis?,%,sition Has your bank considered thecomposition of its portfolio in % in the analysis? Pleaseprovide proportional composition your portfol
BST,,How many Global priorities might alternatively be considered for banks with highly diversified and international portfolios?,4,4 Global priorities might alternatively be considered for banks withhi
BST,,"Which international, regional or national policy frameworks should you align your banks portfolio with?",8,onal or national policyframeworks to align your banks portfolio with8have youidentified as relevant? Show that the selected indicators an
BST,,How many Operational targets were signed?,7," the WesternBalkans, which aligns the region with the EU Green Deal.7 Operational targets relating to for example water consumption inoff"
BST,,How many Key Performance Indicators are chosen by the bank for the purpose of the goal?,9,olio emission-based targets set and in line with theNZBA guidelines.9 Key Performance Indicators are chosen indicators by the bank for the
BST,,How many logins to digital channels has an active digital user had in the past 3 months?,1,etail an active digital useris an active user who has had atleast 1 login to digital channelsmobile or web in the past 3months.Self
BST,OK,"In Slovenia and Serbia, what percentage of electricity is purchased from CO2-neutral sources?",100%,"In Slovenia and Serbia, 100% of electricityused is purchased from CO2-neutral sources.3. By 2025"
BST,OK,What percentage reduction of operational carbon footprint was achieved?,46," 46 % reduction of operational carbon footprintScope 1 and Scope 2, lim"
BST,,How was sustainability management enhanced by establishing a new Sustainability Development Unit and appointing ESG coordinators?,by,"sk ratingSustainalytics. Sustainability management was enhanced, byestablishing new Sustainability Development Unit andappointing ESG co"
BST,,What percentage of women were in all management positions in NLB Group?,56,on. The share of women in all management positionsin NLB Group was 56 %.
BST,,How many NLB Group members are included in the operational carbon footprint measurement?,19,"ement Scope 1,Scope 2, and Scope 3, excluding Category 15 includes 19 NLBGroup members. Besides NLB and subsidiary banks, assetmanagement"
BST,OK,How many behaviours were defined?,15,"ith several implementationinitiatives. As a result, 3 key values and 15 behaviours were defined.ContentsCEO StatementKey Highlights 2022A"
BST,,What is the market share of assets under management in mutual funds measured by?,iv,or the rest of the NLB Group members.iii Assets under management.iv Market share of assets under management in mutual funds.v Market 
BST,OK,How many impact areas along business lines were identified in the NLB Group impact analysis?,13,"on the NLB Group impactanalysis, first performed in 2021, altogether 13 impact areasalong business lines were identified. "
BST,OK,How many material issues were listed for NLB Groups responsible operation and sustainable development?,17," in the same geographical andcultural area. Based on this, we listed17 material issues for NLB Groupsresponsible operation and sustainable"
BST,OK,How many material issues did Senior Management assess?,17,"the six countrieswhere we are present, who evaluated eachone of the 17 material issues to determinethe importance of these issues for NLBG"
BST,OK,How many members did the Committee have in 2022?,17,"Throughout 2022, the Committee had 17 members andwas enlarged to 20 members in 2023. The Chairman of theC"
BST,,How many topics did the Committee address?,22,ctions.The SustainabilityCommittee held fivemeetings and addressed22 ESG-related topics.The Committee members take notes of all key a
BST,,"What does NLB Group at a Glance Sustainability Strategy Governance Governance Sustainable Operations Sustainable Finance and Risk Management Metrics and Targets Contribution to Society Appendices Key training in 2022 The Supervisory Board and/or the Management Board of NLB Members of Sustainability Committee Corporate Governance and Integrity, Risk Management, Credit Risk, Cybersecurity Risk, Anti-Corruption and Money Laundering, Gender Equality What is a key highlight of the 2022 report?",ES,"ersecurity Risk, Anti-Corruption and Money Laundering, Gender EqualityESG Risk Management in an international bankImplementation of EU taxono"
BST,OK,How many reports were processed by NLB d.d. in the area of fraud investigation?,41,In the area of fraud investigation NLB d.d. processed 41reports and NLB Group members 34 reports of suspicionsof harmful beh
BST,,How many reported of suspicions of harmful behaviour were processed through different channels?,10,"ication, otherchannels and based on own identification.Among them, 10 reports of suspicions of harmful behaviourwere categorised as whistl"
BST,OK,How many big taxpayers had special tax status in Slovenia in 2021?,11,"rs who have appropriate internaltax controls in place. In 2021, only 11 big taxpayers had suchstatus in Slovenia. This status, which is gran"
BST,OK,How many entities of NLB Group were included in calculation?,19,"ootprintreport verification, disclosure and reporting. Altogether, 19 entities of NLB Group were included incalculation. Beside NLB and su"
BST,OK,How many men took parental leave?,40,"om home every day.Parental leaveIn 2022, 254 employees 214 women, 40 men took parentalleave. Some of the employees started parental leav"
BST,OK,How many members are on the Management Board of NLB?,10,LB has 6 members 5 men and 1 woman. The Supervisory Board of NLB has 10 members7 men and 3 women.CEO StatementKey Highlights 2022About T
BST,OK,How many practical workshops were organised specifically for the needs of older people?,10,"heir money with using digitalchannels.For this reason, we organised 10 practical workshopsspecifically tailored to the needs of older peopl"
BST,OK,How many workshops were organized specifically for older peoples needs?,10,"heir money with using digitalchannels.For this reason, we organised 10 practical workshopsspecifically tailored to the needs of older peopl"
BST,OK,How many workshops did NLB run in 2022?,13,kills for older people workshops online and offline.in 2022 we ran 13 workshops with a total of 121 participants.They are mainly are perfo
BST,OK,How many different locations did NLB BankGo visit in 2022?,24,"fbanking services on the road. In 2022 NLB BankGo regularlyvisited 24 different locations four days a week, and on Fridayswas present at s"
BST,OK,How many humanitarian organisations were exempted from fees in 2022?,32,"enttransactions to humanitarian organisations. In 2022, NLBexempted 32 humanitarian organisations from fees, whichresulted in 6,104 transac"
BST,OK,How much money was generated by Private Individuals NLB?,13,"introduce to the market20 different loan offers products, of which 13 are for private individuals and 7 for legal entities Microand SME."
BST,,How many of the loan offers are for private individuals and 7 for legal entities?,13,"introduce to the market20 different loan offers products, of which 13 are for private individuals and 7 for legal entities Microand SME."
BST,OK,"How many months after joining NLB, what are intermediary targets to be set every five years?",18,"folios to align withpathways to net-zero by 2050 or sooner. Within 18 months of joining, setting 2030 targets or soonerand a 2050 target"
BST,,How many finalists were selected from each market where our banking members operate?,10,"llenges of the future. Fromthem, the first-level jury first selected 10 finalists from eachmarket where our banking members operate, and the"
BST,OK,How many sports clubs did NLB support in 2022?,65,"ditions. In 2022, for the eighth consecutive year, NLBd.d. supported 65 sports clubs throughout Slovenia. "
BST,,On what page is the chapter Governance in the Sustainability Report?,25,"page 1102. See chapter Governance in the Sustainability Report, page 253. See chapter Environmental, social and human resources policies in "
BST,,On what page is the chapter on Collective bargaining agreements?,20,"See chapter Stakeholder Engagement in the Sustainability Report, page 202-30 Collective bargaining agreements 1. See chapter Labor management"
BST,,"How many legal actions were there for anti-competitive behavior, anti-trust, and monopoly practices in the reporting period?",no,"ti-competitive behavior,anti-trust, and monopoly practicesThere was no legal actions for anticompetitivebehaviour, anti-trust or monopoly p"
BST,,How many new employees are there in the Sustainability Report?,51,"ection Responsibility to employees in the Sustainability Report, page 51401-1 New employee hires and employee turnover 1.See section Structur"
BST,,How many incidents of discrimination were there in the reporting period?,no,zero tolerance to any form of discrimination and violence.There were no incidents of discrimination in the reporting period.CEO StatementKe
BST,,How many incidents of forced or compulsory labor were there in the reporting period?,no,gnificant riskfor incidents of forced or compulsory laborThere were no incidents of forces and compulsory labor in the reporting period.Sec
BST,,On what page of the Sustainability Report is the chapter Responsible procurement  supply chain management referred to?,50,"procurement  supply chainmanagement the Sustainability Report, page 50GRI 414 Supplier Social414-1 New suppliers that were screenedusing"
BST,,"Chapter Sustainable Finance and Risk Management, page 67 What is chapter green finance and solutions for clients?",73,"ent, page 673. Chapter Green finance and solutions for clients, page 73b Describe the impactof climate-related risksand opportunities on"
BST,,How many indicators were provided by the UN PRB impact analysis tool?,52,d Academia data to identify the countrysperformance for each of the 52 indicators provided by theUN PRB impact analysis tool. Once we had c
BST,OK,How many impact areas did the UNEP FI tool define in all six countries of the NLB Group operations?,22,The following table depicts the specific country need levelsfor all 22 impact areas defined by the UNEP FI tool in all sixcountries of the 
BST,OK,How many impact areas were identified?,13,"p carried out impactanalysis and materiality analysis and identified 13 impactareas Employment, Inclusive  healthy economies, Resour"
BST,OK,How many workshops were provided in 2022?,13,"s based on three pillars- digital skills for older people  in 2022 13 workshops were provided with 121 participants,- content cooperation"
BST,OK,"How many Sustainable economic activities promote the transition to a low-carbon, resource-efficient and sustainable economy?",11,11 Sustainable economic activities promote the transition to a low-carbo
BST,OK,How many consecutive years did Top Employer receive the First ESG Rating?,7th,ongthe best 15% of banks as assessedby Sustainalytics.TopEmployer7th consecutive yearThe firstESGratingWe are focused on our journey t
BST,OK,How many trees were saved?,866," 70%at NLB Group level. Paper consumption was reduced by 17%, thus 866 treeswere saved. 6,176 trees were planted by NLB Group employeest"
BST,OK,What bank is the leading bank in Slovenia?,NLB," position and the impact of itsactivities.NLB Group is comprised of NLB, the leading and systemicallymost important bank in Slovenia, seven "
BST,OK,How many branches does NLB Group have in all markets where it operates?,440,B Group in numbers as at 31 December 2022 An extensive network of 440 branches in all markets whereNLB Group operates. More than 2.7 mil
BST,,How many years in a row has the Dutch Top Employer Institute been the top employer in the Netherlands?,7th,"Stock Exchange Top Employer in 2022 Dutch Top Employer Institute, 7thconsecutive year Best Annual Report 2021 among financial instituti"
BST,OK,How many levels does NLB Skladi tackle the sustainable development activities?,two,company. NLB Skladi tackles the sustainable developmentactivities at two levels 1. Harmonisation within the NLB Groupat company level and 2.
BST,OK,How many most important stakeholder groups did NLB Group identify?,six,"Through a materiality analysis, we identified the six mostimportant stakeholder groups employees, investors/shareholders"
BST,OK,How many times was the evaluation performed?,two,"r NLB Groupssustainable operations. The evaluationwas performed in two parallel tracks onewith NLB Group internal stakeholders,i.e. "
BST,OK,How many parallel tracks did the evaluation of NLB Groups sustainable operations take place?,two,"r NLB Groupssustainable operations. The evaluationwas performed in two parallel tracks onewith NLB Group internal stakeholders,i.e. "
BST,OK,How many countries are there in which we are present?,six,"nesurvey sent to the designated externalstakeholders throughout the six countrieswhere we are present, who evaluated eachone of the 17 mate"
BST,OK,How many main stakeholder groups did the NLB Group identify through stakeholder mapping?,six,"Through stakeholder mappingwe recognised six mainstakeholder groups employees,private and business clients,sup"
BST,,How does NLB determine the target diversity pursued in relation to representation in the Supervisory Board?,40%,ntary achievementof the goal of gender diversity by the end of 2026 40%for members of supervisory boards and a total of 33% formembers of s
BST,,What is the goal of gender diversity by the end of 2026?,40%,ntary achievementof the goal of gender diversity by the end of 2026 40%for members of supervisory boards and a total of 33% formembers of s
BST,,What percentage of members of supervisory boards will have gender diversity by the end of 2026?,40%,ntary achievementof the goal of gender diversity by the end of 2026 40%for members of supervisory boards and a total of 33% formembers of s
BST,,Who is appointed President of the management board of the Bank?,one,"n of NLB, the Management Board is composed ofthree to seven members, one of whom is appointed Presidentof the Management Board of the Bank.I"
BST,,How many collective decision-making bodies discuss management topics?,six,"ement topics, including sustainability, arediscussed and approved at six collective decision-makingbodies Corporate Credit Committee, Assets"
BST,,At what level are management board members supported by directors?,B-1,"ttee.Respective Management Board members are supported bydirectors B-1 level in three decision-making bodies, whichalso discuss sustainabi"
BST,,How many coordination profiles does the standardization anticipate?,one,ganizational set-up across the Group. The standardizationanticipates one coordination profile with enough seniority ineach member to have a c
BST,,Where are sustainability-related policies adopted first?,NLB,"stainability-related policies are adopted atfirst in the parent bank NLB, whereas the Group membersare responsible to adapt and to implement "
BST,,What group values do MB members act in accordance with?,NLB,each year.Personal goalsAll MB members Acting in accordance with NLB Group values Achieving the employee engagement/satisfaction index
BST,,How much weighting were other members of NLBs Management Board given?,520%,s CEO 10% weightingb Other members of NLBs Management Boardfrom 520% weightingCEO StatementKey Highlights 2022About This ReportNLB Gro
BST,,What is the weighting of other members of NLBs Management Board?,520%,s CEO 10% weightingb Other members of NLBs Management Boardfrom 520% weightingCEO StatementKey Highlights 2022About This ReportNLB Gro
BST,,"Adhering to national and European regulations, SDGs, UN PRB, and ECB Guide on climate-related and other ESG risks?",ECB,#NAME?
BST,,ESG factors are integrated into the risk management framework and underwriting process?,ECB,#NAME?
BST,OK,How many trees did the bank donate to Prishtina?,200,"rted the initiative To Love and Protectthe Nature and donated around 200 trees to beplanted in Prishtina in the last two years. By doingso, "
BST,,What is the effect on the derecognition of financial instruments?,net,"me from non-Constituent Entities, net fee and commission income, the net effect of financial instruments, foreign exchange translation, the ef"
BST,,What Scope measures direct emissions from use of fuels in vehicles?,1.2,e 1.1  direct emissions from combustion of fuels forheating Scope 1.2  direct emissions from use of fuels in vehicles Scope 1.3  fugiti
BST,,What percentage of renewable electricity has the NLB increased for its operations?,70%,"centage of renewable electricity sourcedfor our operations to almost 70% at the Group level, and it isapproaching the target to reach 75% by "
BST,OK,Who reimburses its employees?,NLB,"e i.e., home office have not been taken into consideration, althoughNLB reimburses its employees."
BST,OK,What was the consumption of various resources converted to?,MWh,"e electricity.HeatingMeasurement included consumption converted to MWh of various resources natural gas, heating oil, liquid petroleum gas"
BST,,How much did the fuel consumption for vehicles increase in MWh?,"2%,","l consumption converted to MWh for vehicles slightly increased  by 2%, compared to 2021 levels, which correlates to the endof pandemics and"
BST,OK,How much fuel was consumed in the baseline year?,10%,"Altogether, the consumption was reduced by 15% compared to 2021, and 10% compared tothe baseline year.Fuel consumptionFuel consumption con"
BST,OK,"By 2025, what percentage of paper prints were to be reduced?",50%,roject in 2020. After thorough analysis the target was setto achieve 50% reduction of number of paper prints in itsoperations by 2025 compar
BST,OK,How many trees did NLB save?,866,"Thus, we saved 866 trees.Paper usage in NLB was lower by 26%, which is the highestredu"
BST,,How many different water flow rates can be used in a toilet?,two,outsensors for water flow and kettles in toilets with possibility oftwo different water flow rates.
BST,,Who must meet these criteria to be able to become a supplier?,ESG, to check potential suppliersfrom various perspectives including the ESG. They all must meetthese criteria to be able to become NLB Groups s
BST,,What criteria must all suppliers meet to be able to become NLB Groups suppliers?,ESG, to check potential suppliersfrom various perspectives including the ESG. They all must meetthese criteria to be able to become NLB Groups s
BST,OK,What percentage of NLB Groups employees were women in 2021?,70%,"roup by genderAs in 2021, at its significant locations of employment 70% ofNLB Groups employees were women and 30% men at the endof 2022.G"
BST,OK,What percentage were men in 2022?,30%,t locations of employment 70% ofNLB Groups employees were women and 30% men at the endof 2022.Graph Number of employees in NLB GroupNLB d
BST,OK,How many new employees did NLB Group hire in 2022?,926,"re of new employees in NLBby gender and ageIn 2022, NLB Group hired 926 new employees at its significantlocations of employment, of which 28"
BST,,How many were under 51 and over 60 years of age?,188,"t the NLB Group at its significantlocations of employment. Of these, 188 16% were underbetween 51 and 60, and 166 14% were over 60 years "
BST,OK,How much did the employee turnover rate increase between 2021 and 2022?,"6%,"," age in 2022Compared to 2021, the turnover rate in 2022 increased by 6%,mostly due to the higher number of retirements and earlyretirements,"
BST,OK,How much did the rate of employee turnover in NLB Group increase in 2022?,"6%,"," age in 2022Compared to 2021, the turnover rate in 2022 increased by 6%,mostly due to the higher number of retirements and earlyretirements,"
BST,OK,How many employees took parental leave in 2022?,254,"eesin NLB Group workedfrom home every day.Parental leaveIn 2022, 254 employees 214 women, 40 men took parentalleave. Some of the employ"
BST,OK,How many people were included in the company in 2022?,136,"aim of developing the organisationalculture and leaders, we included 136 individuals in thehighest management positions in the entire NLB Gro"
BST,OK,How many individuals were included with the company by 2022 to develop the organisational culture and leaders?,136,"aim of developing the organisationalculture and leaders, we included 136 individuals in thehighest management positions in the entire NLB Gro"
BST,OK,How many people in the NLB Group participated in a 360-degree feedback exercise on the impact of their leadership on employees?,136,"aim of developing the organisationalculture and leaders, we included 136 individuals in thehighest management positions in the entire NLB Gro"
BST,OK,How many students and occasional workers were employed in 2022?,172,"opportunities or practice to students.In 2022, there were altogether 172 students and occasionalworkers employed in different areas of work "
BST,,How many workers representative institutions were established in NLB?,two,Based on the Labor Relationship Act two workersrepresentative institutions were established in NLB NLB re
BST,OK,How many authorized representatives does the Bank have?,one,intopics of interest are related to working conditions.The Bank has one authorized representative assigned forcooperation in labor relations
BST,OK,A total of what percentage for members of supervisory boards?,40%,ntary achievement of the goal of sexual diversity by the end of2026 40% for members of supervisory boards and a total of 33% for members ofs
BST,,How many candidates meet all the required tender criteria?,two,t pathways that attract a sufficiently widerange of candidates if two candidates for the position of a member of theManagement Board or a 
BST,,The average of the adjusted pay gap by positions of equal value fluctuates between 2% to what percentage?,4%.,adjusted pay gap by positions of equal value fluctuatesbetween 2% to 4%. NLB Group will strive to reduce the pay gaps by progressively balanci
BST,,Clients recognize our efforts of digitalisation as a provider of high-quality digital services?,NLB,One of the NLBs best-ratedtraits is the impression of being important for economic
BST,,How many levels of internal complaint process does NLB have?,two,"on governing banking andfinancial services, the Bank has established two-level internalcomplaint process and two selected out-of-court settle"
BST,,How many selected out-of-court settlement centres does the Bank have in place?,two,"es, the Bank has established two-level internalcomplaint process and two selected out-of-court settlementcentres. The complete informatio"
BST,,How many participants are there in the study?,121,ops online and offline.in 2022 we ran 13 workshops with a total of 121 participants.They are mainly are performed in collaboration with KC
BST,,How many different views are presented in the charts below?,two,"to determine the finalrisk score.Based on currently available data, two different views bycountry and by industry over the Groups corpora"
BST,,What is the Groups exposure to emissions-intensive sectors in its corporate clients business?,low,of the portfolio and corresponding emissionsthe Group has relatively low exposure to emission-intensive sectors in its corporate clients busi
BST,,Clients have to clarify whether the company put in place policies relating to what aspect of their operations?,ESG, to clarify whether the company put inplace policies relating to the ESG aspects of their operations .The credit ratings of clients that are 
BST,,Who assessed how banks are prepared for dealing with financial and economic shocks steming from climate risk?,ECB,gate results were published in July 2022. Byperforming this exercise ECB assessed how banks are preparedfor dealing with financial and econom
BST,,What risks are incorporated into credit approval process and corresponding governance?,ESG,sults were within the range ofaverage peer results.Incorporation of ESG risks in credit approvalprocess and corresponding governanceIn rece
BST,,How many sub-funds do NLB Funds offer?,two,"management hereinafter NLB Skladi as amember of NLB Group, offers two sub-funds which promoteenvironmental and social characteristics and "
BST,OK,What percentage of all CSR activities were aligned with UN SDGs?,40%,n overview of key CSR activities with the greatestimpact group-wide.40% of all CSR activitieswere aligned with at leastone of the UN SDG go
BST,OK,What percentage of all CSR activities were aligned with at least one of the UN SDG goals?,40%,n overview of key CSR activities with the greatestimpact group-wide.40% of all CSR activitieswere aligned with at leastone of the UN SDG go
BST,OK,How many companies participated in the FrameOfHelp project in 2022?,300,"In 2022, as many as 300 companies participated theFrameOfHelp project, with which NLB Group"
BST,,How many employees planted 2100 trees?,320,uka took care offorestation on Jahorina  2100 trees were planted by 320employees. SDG 15  Life on Land NLB Komercijalna banka donated t
BST,,How many Organic Days events did NLB Banka Banja Luka participate in?,two,"le Consumption and Production NLB Banka Banja Luka participated in two Organic Daysevents.Sustainable mobilityIn 2022, NLB became a leadi"
BST,,How many bicycles were included in the system?,200,"in Maribor, which provides anefficient and user-friendly system with 200 bicycles. Thus,the project contributed to the greater awareness of c"
BST,OK,How many stages of personal finance management are there in the Bankarium museum?,six,"nued its mission in strengthening financialliteracy. Walking through six stages of personal financemanagement, visitors can play digital game"
BST,,Who founded NLB?,NLB,"It is the first and only banking museum in the countryand founded by NLB, since our tradition is based on people,banking knowledge and cultur"
BST,OK,How many years old is Slovenias banking heritage?,200,"of world banking in a multimedia introduction. Then, theyexplore the 200-year-old banking heritage in the Slovenianterritory. SDG4  Quality"
BST,,What type of gallery and collection will be created as part of the programme?,art,"jects in ourhome region of Southeast Europe, as well as designa new art collection and gallery.The NLB Group will thus become a central supp"
BST,,What is the annual decrease in Paper consumption?,-23,"ational Environmental ImpactPaper consumption annual decrease in % -6 -17Vehicle fuel MWh 6,586 6,773Vehicle fuel/employee MWh/emp.0.78 0"
BST,,How many incidents of discrimination during reporting period?,3 1,0Total number of incidents of discrimination during reporting period 3 1Total number of incidents of violations of humanrights vis-a-vis any
BST,,How many employees are under 30?,7 8,tyAverage employee age in % 44.6 44.3Employee age under 30 in % 7 8Employee age from 31  50 in % 65 62Employee age over 50 in % 37
BST,,What is the parent bank of NLB?,NLB,"ta for NLB Group and significant locations are presented parent bank NLB, d.d. Slovenia, and 7 subsidiary banks NLB Banka a.d., Skopje Nor"
