Model;Question;Ground Truth Context;Ground Truth Answer;Retrieved Context;Extracted/Generated Answer
t5-base-handwritten;What analytical and visualisation tool does the Group use to analyse and monitor its credit portfolio?;"The Group is analysing and monitoring its credit portfolio by using heat maps. For the purpose of heat maps the Group aggregates single risks by using predefined weights for determination of final risk score. Such approach enables different views over the Group’s corporate portfolio from physical and transition risk perspective.";The Group is analysing and monitoring its credit portfolio by using heat maps. ;"Credit risk management
The management of ESG risks addresses the Group’s overall
credit approval process and the related credit portfolio
management. Sustainable financing is implemented in
accordance with the Group’s ESMS. In addition to addressing
ESG risks in all relevant stages of the credit-granting process,
relevant ESG criteria were also considered in the collateral
evaluation process.
The Group is analysing and monitoring its credit portfolio by
using heat maps. ";heat maps 
t5-base-handwritten;How much new green loan NLB Group generated for retail clients?;NLB generated new green loan volume for retail clients in the amount of over €53 million.;Over €53 million;"NLB Green Housing loan (SDG 11,12,13)
Purposes: for purchasing or building a passive house, for
purchase and installation of solar power plants with or w/o
battery, for heat pumps, charging stations, IR panels, and gas
boilers
2. NLB Green partner loan (SDG 11, 12,13)
Purposes: for purchase and installation of solar power plants
with or w/o battery, for heat pumps, charging stations, IR
panels, and gas boilers
NLB Group finances corporate clients for projects such as:
• wind farms,
• solar power plants,
• energy-efficient buildings.
››› 1. For more information about client engagement, please refer to:
Sustainability Report 2022 p. 12
››› 2. ";NLB Green partner loan (SDG 11, 12,13) 
t5-base-handwritten;How much did the NLB Group reduce the carbon footprint in 2022 compared to 2021.;n 2022, Total Scope 1, 2 and 3 (limited inclusion) emissions of NLB Group accounted for 19,906 t CO2 , which is 46% reduction compared to 2021. Emissions from scope 1 and 2 show 16, 015 t CO2 , that is 52% reduction from 2021. Main reason for significant reduction of CO2 emissions;For 46%;"in 2023. Consequently, target and progress data will be
adjusted to include a comprehensive view on NLB Group.
Publicly announced target by 2030
By the year 2025, the NLB Group will decrease the number of
paper prints in its operations by 50% compared to the year 2019.
Target achivements in 2022
By the year 2022 the NLG Group decreased the number of
paper prints by 43% compared to 2019
Impact area Resource efficiency / security
Impact area Climate
Target achivements in 2022
By year 2022 the NLB Group has implemented 166.9 million of
new sustainable corporate financing.
";By the year 2025 the NLB Group decreased the number of paper prints in its operations by 50% compared to the year 2019 
t5-base-handwritten;How many human right violations were confirmed in 2022 in relation to employees and customers, or by external contractors and suppliers and other contractual partners.;“In 2022 no human rights violations have been confirmed in relation to employees and customers, or by external contractors and suppliers and other contractual partners.”;Zero.;"Among them, 10 reports of suspicions of harmful behaviour
were categorised as whistle-blow cases at the Group level.
Details are presented in the table below.
Total cases
processed
Whistleblow
cases*
Anti-Bribery
and Corruption
Conflict of
interest
Fraud
Failure to comply
with internal
regulations
Failure to comply
with HR regulations
*received reporting of suspicion of harmful behaviour regardless of whether the suspicion was confirmed or not taking into account the legal definition (reporting irregularities
with the employer, which the employee draws attention to)
anonymous applications or applications where it is not possible to determine whether they are from an external person or an employee are also taken into account
Depending on the results of the investigation, different measures are taken afterwards (labour legal action, filing of criminal complaint, civil lawsuit, issuing recommendations to
improve the process, informing employees...).
››› For more information about our whistle-blowing system, refer to: https://whistler.nlb.si/faq-eng.";Add(n0,n1)|
t5-base-handwritten;Where is the Tax Policy of NLB Group prepared?;The Tax Policy of NLB Group is prepared and managed by Financial Accounting and Administration in NLB d.d., which is also primarily responsible for taxes in NLB d.d. Financial;Financial Accounting and Administration in NLB d.d.;"It's purpose is to ensure a uniform and transparent
procurement procedure (including the minimum principles of ethical, social and environmental conduct that NLB Group expects from all its suppliers)
of goods and services needed for performing business activities in line with the standards of conduct required by the NLB Group Code of Conduct as
well as other group-wide NLB Group policies and procedures.
Instructions for selecting suppliers
of goods and services of NLB
Instructions regulate the procedure for selecting suppliers of goods and services in the Bank which ensures: a uniform, clear and transparent
procedure for selecting the most suitable or appropriate supplier of goods and services, the appropriate quality of the supplied goods and services,
an adequate level of control of risks related to the purchased items and the supplier (including external providers and the outsourcing itself), ensures
the protection of the bank’s reputation and oversight over the fulfilment of the suppliers’ contractual obligations towards the Bank.CEO Statement
Key Highlights 2022
About This Report
NLB Group at a
Glance
Sustainability
Strategy
Governance
Sustainable
Operations
Sustainable Finance and
Risk Management
Metrics and Targets
Contribution to
Society
Appendices
Contents
ESG Pillar POLICY
or other internal act
DESCRIPTION
goals, results and key risks that are mitigated by the policy/internal act
Environmental NLB Group Carbon footprint measurement
and reporting policy in NLB Group
Policy defines measurement, management and reporting the NLB Group’s performance in terms of CO2 emissions. The main objective is to evaluate
the Group’s corporate value chain, mitigate environmental risks, and take adequate measures and adjust our business model when and if needed.
";Add(n0,const_1)|
t5-base-handwritten;What will be the main source of electric energy used in the NLB Group by the year 2030?;"Publicly announced target by 2030 By the year 2030, 75% of all electric energy used in the NLB Group will come from zero-carbon sources.";By the year 2030, 75% of all electric energy used in the NLB Group will come from zero-carbon sources.;"The main focus was on measuring operational carbon footprint,
implementing measures related to reduction and efficient use of energy and other resources, as well as
on further organisational culture transformation to support NLB Group’s environmental goals.
In 2022, Total Scope 1, 2 and 3 (limited inclusion) emissions
of NLB Group accounted for 19,906 t CO2
, which is 46%
reduction compared to 2021. Emissions from scope 1
, that is 52% reduction from 2021.
Main reason for significant reduction of CO2
emissions
in 2022 was due to the fact that 100% electricity was
purchased from zero-carbon sources in two largest and
most material entities in NLB Group (parent bank NLB and
NLB Komercijalna banka Beograd). ";power(n2,const_2)|
t5-base-handwritten;What % of all electric energy used in NLB Group has come from zero-carbon sources in 2022?;"At the end of 2022, we are already approaching 70% of all  electricity used by NLB Group purchased from zero-carbon  energy sources. In Slovenia and Serbia, 100% of electricity  used is purchased from CO2-neutral sources.";70%;"The main focus was on measuring operational carbon footprint,
implementing measures related to reduction and efficient use of energy and other resources, as well as
on further organisational culture transformation to support NLB Group’s environmental goals.
In 2022, Total Scope 1, 2 and 3 (limited inclusion) emissions
of NLB Group accounted for 19,906 t CO2
, which is 46%
reduction compared to 2021. Emissions from scope 1
, that is 52% reduction from 2021.
Main reason for significant reduction of CO2
emissions
in 2022 was due to the fact that 100% electricity was
purchased from zero-carbon sources in two largest and
most material entities in NLB Group (parent bank NLB and
NLB Komercijalna banka Beograd). ";100% 
t5-base-handwritten;Which milestones will NLB Group achieved in 2023 in line with NLB's UNEP FI- NZBA commitment?;"The NLB Bank publicly announced four targets in 2021, and  in 2022 we started with activities to further develop new  targets more focused on our portfolio. We expect to set  additional targets in 2023 and 2024 in the area of Climate and  Inclusive, healthy economies. In line with our UNEP FI – NZBA  commitment, in 2023 NLB Group will achieve the following  milestones: - Measurement of NLB Group’s portfolios’ carbon emissions. - Decarbonisation scenarios applied to NLB’s portfolios. - Portfolio emission-based targets set and in line with the  NZBA guidelines."; - Measurement of NLB Group’s portfolios’ carbon emissions. - Decarbonisation scenarios applied to NLB’s portfolios. - Portfolio emission-based targets set and in line with the  NZBA guidelines.;"The NLB Bank publicly announced four targets in 2021, and
in 2022 we started with activities to further develop new
targets more focused on our portfolio. We expect to set
additional targets in 2023 and 2024 in the area of Climate and
Inclusive, healthy economies. In line with our UNEP FI – NZBA
commitment, in 2023 NLB Group will achieve the following
milestones:
- Measurement of NLB Group’s portfolios’ carbon emissions.
- Decarbonisation scenarios applied to NLB’s portfolios.
";- Measurement of NLB Group’s portfolios’ carbon emissions. - Decarbonisation scenarios applied to NLB’s Portfolios. 
t5-base-handwritten;What is the aim of Sustainable development policy?;"Therefore, the aim of Sustainable development policy is to ensure the sustainable and successful operation of NLB Skladi, taking into account environmental, social and governance factors, their impact on company’s risks and business opportunities, and to actively contribute to a more balanced and inclusive economic and social system.";the aim of Sustainable development policy to ensure the sustainable and successful operation of NLB Skladi, taking into account environmental, social and governance factors, their impact on company’s risks and business opportunities, and to actively contribute to a more balanced and inclusive economic and social system.;"Out those, three areas were prioritised:
2. Resource efficiency & security
3. Inclusive & healthy economies
››› 1. For more information about priorities of impact areas, please refer to: Sustainability Report 2021, p.12.";Resource efficiency & security 
t5-base-handwritten;When did NLB Group introduce the first green financing offer?;"In NLB Group, we recognise climate-related changes not only as risks, but also as business opportunities, and recognise a responsibility to support clients in their green transition. Therefore, since the introduction of the first green financing offer (NLB Green Housing Loan) in 2020, the Group continues to strengthen its sustainable finance proposition with sustainability-related financing for private individual, micro, SMEs and corporate clients.";In 2020. ;"Most of the lending portfolio will be analysed in line with NZBA methodolog
y by the end of 2023.
A.1.5.
NLB Group developed financial products tailored to support clients’ and customers’ reduction
in GHG emissions (such as energy-efficient mortgages, green loans, green bonds, green
securitisations, etc.) as follows:
1.NLB Green Partner Loan to finance the construction of turnkey solar power plants.
2.NLB Green Loan for investments in the energy efficiency of business buildings
3. NLB Green Loan for reducing the carbon footprint
4. ";end of 2023 
t5-base-handwritten;How much of the new sustainable corporate financing did the Group implement by year 2022?;"Target achivements in 2022 By year 2022 the NLB Group has implemented 166.9 million of new sustainable corporate financing. ";By year 2022 the NLB Group has implemented 166.9 million of new sustainable corporate financing. ;"Cooperation is based on three pillars:
- digital skills for older people – in 2022 13 workshops were provided with 121 participants,
- content cooperation: we cooperate in app for older people, MAGDA
- mobile branch: in connection with a mobile classroom we provide information and
knowledge in remote environments. More information: Sustainability Report 2022, p.
The NLB Group set targets for three impact areas: Climate, Resource efficiency & security, and Inclusive & healthy economies. The
baseline year for the targets is 2019, except for the target in sustainable corporate financing. Sustainable corporate financing started in
2021 as a new approach focusing exclusively on sustainability-related projects.
";Sustainable corporate financing started in 2021 
